TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
2.30.29.30	-	2.24494289749695e-05	-10.7042453795129	398	36	0.0983606557377049	366	8395	56349,224093,67016,226970,110596,72318,72469,99662,224860,107022,228564,226751,269608,19417,233765,71544,16923,245684,19159,14783,67425,241308,106877,101497,19414,231821,50915,72754,101476,102098,18806,71704,26936,83435,71302,22350	Net1,Fam43a,Tbc1d2b,Arhgef4,Arhgef28,Cyth4,Plcd3,Eps8l3,Plcl2,Gramd3,Frmd5,Cdc42bpa,Plekhg5,Rasgrf1,Plekha7,Arhgap42,Sh2b3,Cnksr2,Cyth3,Grb10,Eps8l1,Ralgps1,Afap1l1,Plekhg2,Rasa3,Adap1,Grb14,Arhgef10l,Plekha1,Arhgef18,Pld2,Arhgef3,Mprip,Plekha3,Arhgap26,Ezr
1.20.900.10	-	0.00260568608750465	-5.95005926513115	68	9	0.0245901639344262	366	8395	269608,19417,71704,226970,72754,102098,56349,110596,101497	Plekhg5,Rasgrf1,Arhgef3,Arhgef4,Arhgef10l,Arhgef18,Net1,Arhgef28,Plekhg2
3.40.50.10140	-	0.00657363048859934	-5.02468901332116	28	5	0.0136612021857923	366	8395	16177,17082,16174,16180,16182	Il1r1,Il1rl1,Il18rap,Il1rap,Il18r1
1.20.1380.20	-	0.0173660068956984	-4.05324061026335	5	2	0.00546448087431694	366	8395	353282,268297	Sfmbt2,Scml4
3.20.20.190	-	0.0189070934054872	-3.968218114869	24	4	0.0109289617486339	366	8395	233552,72469,18797,224860	Gdpd5,Plcd3,Plcb3,Plcl2
3.40.20.10	-	0.0189070934054872	-3.968218114869	24	4	0.0109289617486339	366	8395	22349,11567,12332,227753	Vil1,Avil,Capg,Gsn
1.10.555.10	-	0.0241629237341498	-3.72293589775097	66	7	0.0191256830601093	366	8395	18709,268970,71544,545481,50768,71302,117600	Pik3r2,Arhgap28,Arhgap42,Arhgap40,Dlc1,Arhgap26,Srgap1
1.10.1450.10	-	0.0248513720536788	-3.69484231453599	26	4	0.0109289617486339	366	8395	269831,12508,70747,70423	Tspan12,Cd53,Tspan2,Tspan15
3.10.350.10	-	0.0253041175538831	-3.67678814732553	6	2	0.00546448087431694	366	8395	170719,70082	Oxr1,Lysmd2
2.60.40.720	-	0.0253041175538831	-3.67678814732553	6	2	0.00546448087431694	366	8395	12399,12393	Runx3,Runx2
2.170.240.10	-	0.0253041175538831	-3.67678814732553	6	2	0.00546448087431694	366	8395	94216,12827	Col4a6,Col4a2
1.20.120.550	-	0.0253041175538831	-3.67678814732553	6	2	0.00546448087431694	366	8395	64292,211666	Ptges,Mgst2
3.90.190.10	-	0.0333427472834507	-3.40091500303123	86	8	0.0218579234972678	366	8395	240672,67603,19279,19275,229776,19267,545902,19252	Dusp5,Dusp6,Ptprr,Ptprn,Cdc14a,Ptpre,Ptprh,Dusp1
3.30.50.10	-	0.0368322888603636	-3.30138040382671	57	6	0.0163934426229508	366	8395	19015,83925,14464,14463,14462,22337	Ppard,Trps1,Gata5,Gata4,Gata3,Vdr
3.40.1650.10	-	0.0435973793929527	-3.13275823609979	1	1	0.00273224043715847	366	8395	69064	Fuom
