TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
16337	Insr (insulin receptor)	0.000480980840822408	-7.63968312062187	17	5	0.0163934426229508	305	7373	216869,66616,20411,14251,14783	Arrb2,Snx9,Sorbs1,Flot1,Grb10
20616	Snap91 (synaptosomal-associated protein 91)	0.00065883221971969	-7.32504165417834	5	3	0.00983606557377049	305	7373	245684,58234,665113	Cnksr2,Shank3,Tnik
11180	WDR6 (WD repeat domain 6)	0.00127733219055506	-6.66298160220143	6	3	0.00983606557377049	305	7373	68581,213539,216869	Tmed10,Bag2,Arrb2
242274	Lrrc7 (leucine rich repeat containing 7)	0.00127733219055506	-6.66298160220143	6	3	0.00983606557377049	305	7373	665113,245684,58234	Tnik,Cnksr2,Shank3
381921	Taok2 (TAO kinase 2)	0.00170586187270437	-6.37368479878	2	2	0.00655737704918033	305	7373	58234,665113	Shank3,Tnik
57765	Tbx21 (T-box 21)	0.00272827631820949	-5.90408525446414	15	4	0.0131147540983607	305	7373	19664,14462,18511,22165	Rbpj,Gata3,Pax9,Txk
15450	Lipc (lipase, hepatic)	0.00446773809221222	-5.41087301806713	27	5	0.0163934426229508	305	7373	19672,22027,12406,14827,12330	Rcn1,Hsp90b1,Serpinh1,Pdia3,Canx
14645	Glul (glutamate-ammonia ligase (glutamine synthetase))	0.00488899341687099	-5.32076884190505	9	3	0.00983606557377049	305	7373	245684,58234,665113	Cnksr2,Shank3,Tnik
15165	Hcn1 (hyperpolarization-activated, cyclic nucleotide-gated K+ 1)	0.00491085143348867	-5.31630794416664	39	6	0.019672131147541	305	7373	665113,330953,27428,58234,12217,18479	Tnik,Hcn4,Shroom3,Shank3,Bsn,Pak1
10763	NES (nestin)	0.00497733974993791	-5.30285971743361	3	2	0.00655737704918033	305	7373	67773,20620	Kat8,Plk2
24050	Sept3 (septin 3)	0.00497733974993791	-5.30285971743361	3	2	0.00655737704918033	305	7373	665113,58234	Tnik,Shank3
17125	Smad1 (SMAD family member 1)	0.00821690572608325	-4.80156157313246	31	5	0.0163934426229508	305	7373	14463,12831,12393,70673,14013	Gata4,Col5a1,Runx2,Prdm16,Mecom
21960	Tnr (tenascin R)	0.00902980027808318	-4.7072250293966	11	3	0.00983606557377049	305	7373	665113,58234,245684	Tnik,Shank3,Cnksr2
66042	Sostdc1 (sclerostin domain containing 1)	0.0096828080319982	-4.63740333381022	4	2	0.00655737704918033	305	7373	12156,12162	Bmp2,Bmp7
7088	TLE1 (transducin like enhancer of split 1)	0.0096828080319982	-4.63740333381022	4	2	0.00655737704918033	305	7373	19241,15228	Tmsb4x,Foxg1
16576	Kif7 (kinesin family member 7)	0.0096828080319982	-4.63740333381022	4	2	0.00655737704918033	305	7373	58234,665113	Shank3,Tnik
