TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
IPR001849	PH_domain	3.4047019327964e-07	-14.8929382532806	260	29	0.0377604166666667	768	19820	19414,241308,101476,110596,245684,269608,101497,102098,67016,19159,106877,18806,56349,233765,21664,71544,50915,14783,71704,19417,231821,226970,72469,224860,71302,72318,226751,26936,83435	Rasa3,Ralgps1,Plekha1,Arhgef28,Cnksr2,Plekhg5,Plekhg2,Arhgef18,Tbc1d2b,Cyth3,Afap1l1,Pld2,Net1,Plekha7,Phlda1,Arhgap42,Grb14,Grb10,Arhgef3,Rasgrf1,Adap1,Arhgef4,Plcd3,Plcl2,Arhgap26,Cyth4,Cdc42bpa,Mprip,Plekha3
IPR011993	PH-like_dom_sf	2.33214322738428e-06	-12.9687228731012	398	36	0.046875	768	19820	226970,19417,99662,14783,231821,71544,224093,72318,67425,110596,101476,241308,16923,56349,19159,106877,228564,18806,72469,71704,50915,226751,26936,83435,71302,224860,269608,245684,19414,22350,72754,233765,107022,67016,102098,101497	Arhgef4,Rasgrf1,Eps8l3,Grb10,Adap1,Arhgap42,Fam43a,Cyth4,Eps8l1,Arhgef28,Plekha1,Ralgps1,Sh2b3,Net1,Cyth3,Afap1l1,Frmd5,Pld2,Plcd3,Arhgef3,Grb14,Cdc42bpa,Mprip,Plekha3,Arhgap26,Plcl2,Plekhg5,Cnksr2,Rasa3,Ezr,Arhgef10l,Plekha7,Gramd3,Tbc1d2b,Arhgef18,Plekhg2
IPR007397	F-box-assoc_dom	3.15253754956854e-05	-10.3647177651395	6	4	0.00520833333333333	768	19820	233038,230904,233040,50760	Nccrp1,Fbxo2,Fbxo27,Fbxo17
IPR004074	IL-1_rcpt_I/II-typ	3.15253754956854e-05	-10.3647177651395	6	4	0.00520833333333333	768	19820	16174,16180,16177,17082	Il18rap,Il1rap,Il1r1,Il1rl1
IPR015621	IL-1_rcpt_fam	3.27864264343974e-05	-10.3254959564443	11	5	0.00651041666666667	768	19820	16174,16180,16182,17082,16177	Il18rap,Il1rap,Il18r1,Il1rl1,Il1r1
IPR000742	EGF-like_dom	9.33634834597587e-05	-9.27901025855953	230	22	0.0286458333333333	768	19820	16997,20562,13522,54003,16775,20344,16971,224024,15200,14114,73182,19225,23966,634731,11502,226519,192187,17064,18131,18073,226255,19123	Ltbp2,Slit1,Adam28,Nell2,Lama4,Selp,Lrp1,Scarf2,Hbegf,Fbln1,Pear1,Ptgs2,Tenm4,Susd1,Adam9,Lamc1,Stab1,Cd93,Notch3,Nid1,Atrnl1,Proc
IPR007122	Villin/Gelsolin	0.000138211411630192	-8.88672607673874	8	4	0.00520833333333333	768	19820	12332,22349,227753,11567	Capg,Vil1,Gsn,Avil
IPR013032	EGF-like_CS	0.000176885095540635	-8.64001021393408	192	19	0.0247395833333333	768	19820	54003,13522,20562,16997,14114,224024,15200,73182,20344,16971,11502,634731,23966,18073,226255,19123,192187,17064,18131	Nell2,Adam28,Slit1,Ltbp2,Fbln1,Scarf2,Hbegf,Pear1,Selp,Lrp1,Adam9,Susd1,Tenm4,Nid1,Atrnl1,Proc,Stab1,Cd93,Notch3
IPR023795	Serpin_CS	0.000467732698994174	-7.6676135812137	48	8	0.0104166666666667	768	19820	20713,20723,20708,15160,20720,12406,20706,282663	Serpini1,Serpinb9,Serpinb6b,Serpind1,Serpine2,Serpinh1,Serpinb9b,Serpinb1b
IPR000219	DH-domain	0.00107382389189533	-6.83652927036737	67	9	0.01171875	768	19820	19417,110596,71704,226970,269608,72754,56349,101497,102098	Rasgrf1,Arhgef28,Arhgef3,Arhgef4,Plekhg5,Arhgef10l,Net1,Plekhg2,Arhgef18
