TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
ko05146	Amoebiasis	0.000174103962368997	-8.65585795229347	104	13	0.0423452768729642	307	7931	18709,20706,18797,12827,19349,94216,21926,226519,282663,16177,20708,16775,20723	Pik3r2,Serpinb9b,Plcb3,Col4a2,Rab7,Col4a6,Tnf,Lamc1,Serpinb1b,Il1r1,Serpinb6b,Lama4,Serpinb9
mmu05146	Amoebiasis	0.000174103962368997	-8.65585795229347	104	13	0.0423452768729642	307	7931	20723,16775,20708,16177,282663,226519,21926,94216,19349,12827,18797,20706,18709	Serpinb9,Lama4,Serpinb6b,Il1r1,Serpinb1b,Lamc1,Tnf,Col4a6,Rab7,Col4a2,Plcb3,Serpinb9b,Pik3r2
mmu04950	Maturity onset diabetes of the young	0.00336512377571198	-5.69429053328943	27	5	0.0162866449511401	307	7931	18088,20526,15242,21410,18096	Nkx2-2,Slc2a2,Hhex,Hnf1b,Nkx6-1
ko04950	Maturity onset diabetes of the young	0.00336512377571198	-5.69429053328943	27	5	0.0162866449511401	307	7931	18088,20526,15242,21410,18096	Nkx2-2,Slc2a2,Hhex,Hnf1b,Nkx6-1
mmu04010	MAPK signaling pathway	0.00407485002791956	-5.50292133593108	252	19	0.0618892508143322	307	7931	68794,240672,330177,19417,76089,216869,14183,17532,67603,19279,21926,193740,16175,18479,14013,15511,16177,19252,78405	Flnc,Dusp5,Taok3,Rasgrf1,Rapgef2,Arrb2,Fgfr2,Mras,Dusp6,Ptprr,Tnf,Hspa1a,Il1a,Pak1,Mecom,Hspa1b,Il1r1,Dusp1,Ntf5
ko04010	MAPK signaling pathway	0.00407485002791956	-5.50292133593108	252	19	0.0618892508143322	307	7931	16175,193740,14013,18479,16177,15511,78405,19252,240672,68794,76089,14183,216869,330177,19417,67603,17532,21926,19279	Il1a,Hspa1a,Mecom,Pak1,Il1r1,Hspa1b,Ntf5,Dusp1,Dusp5,Flnc,Rapgef2,Fgfr2,Arrb2,Taok3,Rasgrf1,Dusp6,Mras,Tnf,Ptprr
mmu04071	Sphingolipid signaling pathway	0.00663114213619966	-5.01597822171736	120	11	0.0358306188925081	307	7931	67260,18806,225849,18797,20698,269643,18709,18201,13609,74442,21926	Cers4,Pld2,Ppp2r5b,Plcb3,Sphk1,Ppp2r2c,Pik3r2,Nsmaf,S1pr1,Sgms2,Tnf
ko04071	Sphingolipid signaling pathway	0.00663114213619966	-5.01597822171736	120	11	0.0358306188925081	307	7931	18797,225849,18806,67260,18201,18709,269643,20698,74442,13609,21926	Plcb3,Ppp2r5b,Pld2,Cers4,Nsmaf,Pik3r2,Ppp2r2c,Sphk1,Sgms2,S1pr1,Tnf
mmu00480	Glutathione metabolism	0.0067174194712449	-5.00305120545197	58	7	0.0228013029315961	307	7931	14778,14866,14782,14864,211666,75475,76263	Gpx3,Gstm5,Gsr,Gstm3,Mgst2,Oplah,Gstk1
ko00480	Glutathione metabolism	0.0067174194712449	-5.00305120545197	58	7	0.0228013029315961	307	7931	14866,14778,14864,211666,75475,76263,14782	Gstm5,Gpx3,Gstm3,Mgst2,Oplah,Gstk1,Gsr
