TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
GO:0005515	protein binding	5.74066131659805e-12	-25.8834467002826	8609	411	0.544370860927152	755	20347	102545,19349,14013,384061,216869,12672,107747,207592,16177,11867,320311,242570,16514,19241,18032,17195,16416,76263,17532,16570,170835,83396,72373,209200,11838,19368,226970,20392,229937,19015,545902,56426,12557,57785,228355,19123,15242,19882,80898,20887,16971,93761,16923,16475,19252,12554,68121,68404,238266,20257,226519,60344,93834,66616,16182,19225,102098,14697,76568,13850,18811,12217,66283,20753,107581,330953,104943,20720,245684,73673,20679,210029,106877,110796,14782,52357,14463,67425,230594,12231,13836,12812,13511,19824,18984,67702,231646,54403,16180,170720,16543,72754,667742,13813,109594,21417,16598,20377,12751,54446,379043,107589,73845,20355,223917,17965,51788,30054,20698,18797,20682,15375,110596,242083,14829,68581,14255,50915,225362,19227,57908,83797,80837,18378,230904,11529,14827,21926,73230,53626,19275,11692,231507,214763,17975,70673,72160,68939,19159,11744,15937,16970,244281,18511,14183,16470,224860,67773,72999,19777,225608,80285,11733,228765,71704,56737,72040,66684,216161,22165,56635,212503,20344,107022,22337,233066,78405,11727,193740,18806,11980,13609,21664,50768,11864,13490,208104,83925,14086,22608,76089,67016,17858,229603,241308,29815,14464,260315,83671,18201,16404,70604,20411,233765,14864,66538,17082,14218,12156,12164,13034,195208,14726,233328,11826,19228,12330,18131,53627,27428,226255,12029,406217,227753,238276,12261,74763,212111,14840,16175,26936,56437,228564,320982,74012,574428,57875,17318,399558,18845,14417,101476,66809,68794,18720,80291,14579,14451,20723,12684,326623,330723,12752,320078,268663,211949,71586,14734,72318,237504,18584,16391,14462,54003,623781,18563,19664,12142,15562,20526,19267,56312,17268,12162,21939,667281,11807,238055,20469,231602,226751,16819,14783,14609,80888,140859,242022,432442,57349,53314,11540,15200,68519,20562,16190,19417,71302,15228,104174,22409,11669,268973,67603,67775,99662,67111,58234,22027,414801,22349,15558,12332,20498,547253,14114,12393,11307,100043314,18479,81489,70802,12931,14131,20620,23888,12269,57752,56349,70355,14066,26357,74094,21410,213539,75678,14251,77125,71956,16775,353282,20974,101497,20821,209086,665113,20198,19106,18709,246228,57778,23966,66725,22350,76486,21950,13798,22793,59025,12406,170765,26431,17064,74840,20359,13482,269608,14615,19279,50765,20706,217517,57442,71890,65945,64010,231821,19290,11595,27984,19703,18088,19735,99377,70423,18647,227541,14120,329324,69940,12831,18073,225326,11567,71767,12904,110075,74136,15511,14200,21678,117600,107371,14866,11502,51789,19261,64685,16997,67164,60411,11910,12399,12075,53618,12810,15460,56492,13819,16847,404634,22333	Cmtm7,Rab7,Mecom,Fndc5,Arrb2,Chrm4,Aldh1l1,Tbc1d16,Il1r1,Arpc1b,Rnf152,Raver2,Kcnj11,Tmsb4x,Nfix,Mbl2,Itgb3,Gstk1,Mras,Kif3c,Inpp5j,Glis2,Psca,Dtx3l,Arc,Raet1a,Arhgef4,Sgce,Znhit6,Ppard,Ptprh,Pdcd10,Cdh17,Rangrf,Madd,Proc,Hhex,Mst1r,Erap1,Sult1a1,Lrp1,Smarca1,Sh2b3,Ajuba,Dusp1,Cdh13,Cep70,Nrn1,Syt16,Stmn2,Lamc1,Fign,Peli2,Snx9,Il18r1,Ptgs2,Arhgef18,Gnb5,Ift46,Ephx2,Prl2c2,Bsn,Gkn1,Sprr1a,Col16a1,Hcn4,Fam110c,Serpine2,Cnksr2,Rec114,Sox6,Metrnl,Afap1l1,Tshz1,Gsr,Wwc2,Gata4,Eps8l1,Zcchc11,Btn1a1,Epha2,Coil,Dsg2,Trim10,Por,Rnf149,Myo1h,Slc4a4,Il1rap,Card14,Mdfic,Arhgef10l,Piezo2,Eomes,Lmo1,Zeb1,Klf2,Sfrp1,Tpp1,Nfat5,Raet1e,Mylk,Ankrd42,Sema4f,Krt79,Nbl1,H2afz,Rnf17,Sphk1,Plcb3,Sox9,Foxa1,Arhgef28,Ppm1l,Grpr,Tmed10,Flt3,Grb14,Reep2,Pthlh,Zfp318,Smarcd1,Rhoj,Omp,Fbxo2,Adh7,Pdia3,Tnf,Bmper,Insm1,Ptprn,Gfer,Plac8,Mb21d1,Ncl,Prdm16,Tmem163,Rasl11b,Cyth3,Anxa11,Ier3,Lrmp,Myo16,Pax9,Fgfr2,Ush1g,Plcl2,Kat8,Insig2,Uri1,Sh3tc2,Parp9,Ank1,Sdcbp2,Arhgef3,Alg2,Cdhr5,Tceal8,Sbno2,Txk,Prl2a1,Paox,Selp,Gramd3,Vdr,Syne4,Ntf5,Ang,Hspa1a,Pld2,Atp8a1,S1pr1,Phlda1,Dlc1,Arnt2,Drd3,Mlxip,Trps1,Fscn1,Ybx1,Rapgef2,Tbc1d2b,Mx2,Otud7b,Ralgps1,Bcar3,Gata5,Nav3,Sytl2,Nsmaf,Itga7,Dnajb14,Sorbs1,Plekha7,Gstm3,Rps19bp1,Il1rl1,Sh3pxd2a,Bmp2,Bmp8b,Ctse,Dcdc2a,Pdpn,Lrrk1,Aqp1,Pth1r,Canx,Notch3,Porcn,Shroom3,Atrnl1,Bcl6b,Bex4,Gsn,Akap5,C1qbp,Naa60,Inpp5a,Gsg1,Il1a,Mprip,Rrad,Frmd5,Arl4c,Rap2b,Zmynd15,Angptl4,Mid1,Flrt2,Plxna2,Gad2,Plekha1,Krt20,Flnc,Pip5k1a,Rilpl2,Gem,Gas1,Serpinb9,Cideb,Tnfsf15,Htra4,Cln3,Olfml2b,Cdhr2,Spsb4,Ifih1,Gpc3,Cyth4,Rassf9,Pde8a,Irf9,Gata3,Nell2,Gm14137,Pcx,Rbpj,Prdm1,Htr4,Slc2a2,Ptpre,Nupr1,Meis1,Bmp7,Cd40,H60b,Apoa2,Apob,Sipa1,P2rx2,Cdc42bpa,Lcn2,Grb10,Gja1,Hspb8,Nek8,Frem2,Akap7,Ppbp,Batf,Adora2a,Hbegf,Eml1,Slit1,Il4ra,Rasgrf1,Arhgap26,Foxg1,Gldc,Wnt10a,Aldh2,Nlrc4,Dusp6,Rtp4,Eps8l3,Naaa,Shank3,Hsp90b1,Itprip,Vil1,Htr2a,Capg,Slc12a4,Parp14,Fbln1,Runx2,Abcg1,Tigit,Pak1,Dnajb1,Pwwp2a,Crlf1,Fcgr3,Plk2,Gpc6,C4bp,Tacc2,Net1,Gprc5c,F3,Abcg2,Tjap1,Hnf1b,Bag2,Ippk,Flot1,Il33,Rnf135,Lama4,Sfmbt2,Syngr3,Plekhg2,Trim21,Samd9l,Tnik,S100a4,Eif2ak2,Pik3r2,Vwa1,Fmnl1,Tenm4,Lrrk2,Ezr,Ly6k,Tnfsf9,En1,Zyx,Usp14,Serpinh1,Ripply3,Git2,Cd93,Manf,Sema6b,Dpp4,Plekhg5,Gjc1,Ptprr,Tfr2,Serpinb9b,Stxbp6,Kcne3,Mad2l2,Clstn1,Sav1,Adap1,Pura,Acan,Efhd2,Renbp,Nkx2-2,Rgs2,Sall4,Tspan15,Cdk14,Camk1d,Fbp2,Syt14,Exoc1,Col5a1,Nid1,Pik3c3,Avil,Tysnd1,Crabp2,Bmp3,Sec14l1,Hspa1b,Fhl2,Tead3,Srgap1,Exoc6,Gstm5,Adam9,Tnk2,Sirpa,Nmi,Ltbp2,Lipt2,Cenpk,Atf3,Runx3,Bfsp1,Fut8,Coch,Hr,Cldn18,Epas1,Lepr,H2afy2,Vdac1
GO:0005488	binding	4.29342271476261e-08	-16.9635964935051	12660	539	0.713907284768212	755	20347	71767,12831,18073,225326,75761,14200,21678,117600,78373,13434,19378,60411,14426,19261,64685,56492,22333,16847,12399,11910,15460,12075,70508,20706,217517,19703,225631,19212,19735,18647,70423,23849,68915,14120,20198,12556,74574,66725,76486,246228,12406,170765,71791,17064,270672,19279,50765,269608,20359,12393,14114,12931,70802,14131,18479,414801,547253,20498,12332,57752,12269,14251,75678,70355,26357,330812,353282,20974,192187,381591,16775,209086,20821,13113,77519,20562,15200,11540,269424,19417,22409,104174,268973,269639,22027,99662,15160,67111,18584,18542,19664,667281,239559,17268,19267,14609,242022,192212,68087,80888,16819,18845,78752,57875,74012,17318,14451,330723,326623,20723,68794,101476,320078,12752,226861,72318,268663,71586,12156,66405,13034,252838,53627,12330,14726,11826,12261,212111,74763,406217,227753,234878,14840,11433,26936,16175,21664,276950,71790,18806,14086,22608,229603,76089,17858,15284,83925,11686,29815,72085,230587,83671,69064,14218,14864,66538,212168,14885,72999,225608,67773,96979,16470,224860,26568,72543,66684,11733,80285,56635,107022,216161,11727,78405,11529,18378,80837,14827,11692,19275,104156,21926,23972,19159,68939,70673,214763,23959,14183,11744,20355,19725,30054,68581,14255,20682,14782,14463,226101,230594,18984,231646,12231,13836,58809,17751,109594,21417,13813,170720,16543,16180,72754,107589,74213,11486,50771,11684,54446,93834,78925,60344,229949,16182,66616,68404,238266,20257,13850,19225,22235,20753,13522,56078,20679,73673,229937,545902,12557,209200,72373,20392,226970,27384,57785,16971,80898,70536,16923,93761,12554,68955,216869,80902,208748,18972,207592,16416,18032,17195,11867,320311,242570,16641,83396,16570,83435,17532,76263,69940,11567,14866,107371,110075,21763,12904,15511,74136,16997,20689,67164,78890,51789,11502,13819,404634,53618,12810,64010,231821,57442,71890,65945,18088,11595,19290,69305,27984,227541,69163,99377,329324,19106,382639,665113,22350,23966,18709,57778,59025,26431,13798,21950,75607,22793,14615,13482,74840,11307,100043314,223920,81489,11513,22349,67260,15558,67921,23888,56349,20620,21410,213539,211389,14066,74094,19672,101497,71956,77125,170460,68519,245595,432442,53314,57349,18096,16190,19414,11669,71302,15228,58234,67603,67775,211978,16391,14462,66548,64292,12142,74229,54003,623781,18563,21939,238055,11807,20526,15562,12162,56312,14783,73707,140859,20469,231602,330177,226751,14417,574428,399558,12684,18720,80291,66809,14579,13047,12309,14734,15218,237504,18426,211949,140486,12164,195208,68867,19228,18131,233328,238276,27206,27428,12029,19215,226255,228564,320982,56437,14778,13609,50768,11980,83395,67016,11864,208104,13490,260315,14464,18201,109161,241308,233765,17082,70604,16404,20411,19777,26559,72040,56737,228765,71704,15552,212503,22337,20344,22165,193740,233066,56357,230904,19227,225362,50915,57908,83797,231507,73230,53626,72160,17975,72469,16970,244281,15937,18511,223917,73845,17965,51788,20698,18797,14829,242083,15375,110596,67425,52357,106877,67676,110796,19824,67702,74090,12812,15958,13511,26561,667742,68567,16598,54403,379043,20377,12751,11770,242109,226519,76568,72103,18029,102098,14697,20720,245684,104943,71904,66283,12217,18811,330953,107581,14423,210029,19015,56426,19368,11838,338521,19123,15242,228355,19882,20887,16475,19252,245596,16639,68121,22217,384061,12672,14013,102545,19349,226075,109901,213084,94214,107747,16177,19241,16514,75475,23844,16469,170835	Tysnd1,Col5a1,Nid1,Pik3c3,Apol7a,Fhl2,Tead3,Srgap1,Nudt17,Trdmt1,Aldh1a2,Cenpk,Galnt4,Sirpa,Nmi,Cldn18,Vdac1,Lepr,Runx3,Atf3,Hr,Bfsp1,Bbx,Serpinb9b,Stxbp6,Renbp,Onecut2,Pter,Rgs2,Cdk14,Tspan15,Klf6,Vars2,Fbp2,S100a4,Cdh16,Lvrn,Lrrk2,Ly6k,Vwa1,Serpinh1,Ripply3,Cpa4,Cd93,Map3k15,Ptprr,Tfr2,Plekhg5,Sema6b,Runx2,Fbln1,Crlf1,Pwwp2a,Fcgr3,Pak1,Itprip,Parp14,Slc12a4,Capg,Tacc2,C4bp,Flot1,Ippk,Gprc5c,Abcg2,Rnf150,Sfmbt2,Syngr3,Stab1,L1td1,Lama4,Samd9l,Trim21,Cyp3a13,Zfp266,Slit1,Hbegf,Adora2a,Jade1,Rasgrf1,Wnt10a,Gldc,Nlrc4,Zfp512,Hsp90b1,Eps8l3,Serpind1,Naaa,Pde8a,Pcolce,Rbpj,H60b,A4galt,Meis1,Ptpre,Gja1,Frem2,Prom2,Dcakd,Hspb8,Lcn2,Plxna2,Csgalnact2,Angptl4,Rap2b,Mid1,Gas1,Htra4,Tnfsf15,Serpinb9,Flnc,Plekha1,Olfml2b,Cln3,Hhat,Cyth4,Cdhr2,Ifih1,Bmp2,Mcts2,Ctse,Tox,Porcn,Canx,Pdpn,Aqp1,C1qbp,Inpp5a,Naa60,Bex4,Gsn,Map3k21,Gsg1,Acp5,Mprip,Il1a,Phlda1,Slfn8,Anxa9,Pld2,Fscn1,Ybx1,Otud7b,Rapgef2,Mx2,Hlx,Trps1,Alox12b,Bcar3,Osgepl1,Glis1,Sytl2,Fuom,Sh3pxd2a,Gstm3,Rps19bp1,Zswim4,Gtf2h4,Insig2,Sh3tc2,Kat8,Ptges2,Ush1g,Plcl2,Slc27a3,Mvb12b,Tceal8,Ank1,Parp9,Prl2a1,Gramd3,Sbno2,Ang,Ntf5,Adh7,Omp,Rhoj,Pdia3,Gfer,Ptprn,Etv5,Tnf,Papss2,Cyth3,Rasl11b,Prdm16,Mb21d1,Nt5e,Fgfr2,Anxa11,Sema4f,Rfx2,Rnf17,Tmed10,Flt3,Sox9,Gsr,Gata4,Myof,Zcchc11,Por,Myo1h,Btn1a1,Epha2,Rnase4,Mt3,Lmo1,Zeb1,Eomes,Card14,Mdfic,Il1rap,Arhgef10l,Mylk,Rbm26,Ada,Atp9b,Alox12,Nfat5,Peli2,Srd5a1,Fign,Ak5,Il18r1,Snx9,Nrn1,Syt16,Stmn2,Ephx2,Ptgs2,Ugdh,Sprr1a,Adam28,Car5b,Sox6,Rec114,Znhit6,Ptprh,Cdh17,Dtx3l,Psca,Sgce,Arhgef4,Akr1c13,Rangrf,Lrp1,Erap1,Qpct,Sh2b3,Smarca1,Cdh13,Srrm4,Arrb2,Zfp202,Prrg3,Pold2,Tbc1d16,Itgb3,Nfix,Mbl2,Arpc1b,Rnf152,Raver2,Klrc1,Glis2,Kif3c,Plekha3,Mras,Gstk1,Exoc1,Avil,Gstm5,Exoc6,Bmp3,Tex2,Crabp2,Hspa1b,Sec14l1,Ltbp2,Sall3,Lipt2,Trmt44,Tnk2,Adam9,Epas1,H2afy2,Fut8,Coch,Sav1,Adap1,Kcne3,Mad2l2,Clstn1,Nkx2-2,Acan,Pura,Dcps,Efhd2,Camk1d,Mrpl44,Sall4,Syt14,Eif2ak2,Zbtb42,Tnik,Ezr,Tenm4,Pik3r2,Fmnl1,Usp14,Git2,En1,Tnfsf9,Wnk2,Zyx,Gjc1,Dpp4,Manf,Abcg1,Tigit,Soat2,Dnajb1,Adcy7,Vil1,Cers4,Htr2a,Ube2f,Gpc6,Net1,Plk2,Hnf1b,Bag2,Suox,F3,Tjap1,Rcn1,Plekhg2,Rnf135,Il33,Stard5,Eml1,Zfp711,Akap7,Batf,Ppbp,Nkx6-1,Il4ra,Rasa3,Aldh2,Arhgap26,Foxg1,Shank3,Dusp6,Rtp4,Zfyve26,Irf9,Gata3,Adamtsl5,Ptges,Prdm1,Paqr8,Nell2,Gm14137,Pcx,Cd40,Apob,Apoa2,Slc2a2,Htr4,Bmp7,Nupr1,Grb10,Gucy2g,Nek8,Sipa1,P2rx2,Taok3,Cdc42bpa,Gad2,Zmynd15,Flrt2,Cideb,Pip5k1a,Rilpl2,Krt20,Gem,Cux1,S100g,Gpc3,Foxn1,Rassf9,Ovol1,Spsb4,Igf2bp1,Bmp8b,Dcdc2a,Rnf122,Pth1r,Notch3,Lrrk1,Akap5,Nrk,Shroom3,Bcl6b,Ptgds,Atrnl1,Frmd5,Arl4c,Rrad,Gpx3,S1pr1,Dlc1,Atp8a1,Sp6,Tbc1d2b,Arnt2,Mlxip,Drd3,Nav3,Gata5,Nsmaf,Ube2q2,Ralgps1,Plekha7,Il1rl1,Dnajb14,Itga7,Sorbs1,Uri1,Hunk,Cdhr5,Alg2,Sdcbp2,Arhgef3,Htr1d,Paox,Vdr,Selp,Txk,Hspa1a,Syne4,Ivd,Fbxo2,Pthlh,Reep2,Grb14,Zfp318,Smarcd1,Plac8,Bmper,Insm1,Tmem163,Ncl,Plcd3,Lrmp,Myo16,Ier3,Pax9,Krt79,Ankrd42,Nbl1,H2afz,Sphk1,Plcb3,Grpr,Ppm1l,Foxa1,Arhgef28,Eps8l1,Wwc2,Afap1l1,Rpp21,Tshz1,Trim10,Rnf149,Paqr5,Coil,Ifit2,Dsg2,Mmp23,Piezo2,Cgref1,Klf2,Slc4a4,Raet1e,Sfrp1,Tpp1,Fabp4,Zfp697,Lamc1,Ift46,Aplf,Nfic,Arhgef18,Gnb5,Serpine2,Cnksr2,Fam110c,Paqr7,Gkn1,Bsn,Prl2c2,Hcn4,Col16a1,Galnt1,Metrnl,Ppard,Pdcd10,Raet1a,Arc,Fa2h,Proc,Hhex,Madd,Mst1r,Sult1a1,Ajuba,Dusp1,Hdx,Klra8,Cep70,Usp12,Fndc5,Chrm4,Mecom,Cmtm7,Rab7,Glis3,Cela1,Cdkl3,Spock2,Aldh1l1,Il1r1,Tmsb4x,Kcnj11,Oplah,Clca1,Jrk,Inpp5j
GO:0005102	signaling receptor binding	1.66368683070751e-07	-15.6090595289715	1602	100	0.132450331125828	755	20347	67425,13609,11540,15200,20562,57349,76089,110075,12231,11864,74136,13490,19417,22409,83671,18201,11502,51789,16180,379043,58234,22027,67775,16404,20377,20411,15460,14462,224860,13850,20720,212503,56635,667281,11807,238055,22337,18811,66283,20526,22165,107581,12162,14609,14783,11727,193740,210029,78405,19015,20198,11529,12557,14827,50915,19227,19368,72373,225362,399558,83797,326623,11692,21926,18709,80898,68939,17975,21950,74840,20359,13482,12156,14114,100043314,384061,12164,216869,12931,14131,102545,20355,12330,57752,17965,14726,11826,16177,238276,12261,16416,14251,17195,70355,228564,16775,14255,76263,77125,16175	Eps8l1,S1pr1,Adora2a,Hbegf,Slit1,Ppbp,Rapgef2,Bmp3,Btn1a1,Arnt2,Sec14l1,Drd3,Rasgrf1,Wnt10a,Sytl2,Nsmaf,Adam9,Tnk2,Il1rap,Raet1e,Shank3,Hsp90b1,Rtp4,Itga7,Sfrp1,Sorbs1,Hr,Gata3,Plcl2,Ephx2,Serpine2,Paox,Prl2a1,H60b,Apoa2,Apob,Vdr,Prl2c2,Gkn1,Slc2a2,Txk,Col16a1,Bmp7,Gja1,Grb10,Ang,Hspa1a,Metrnl,Ntf5,Ppard,S100a4,Adh7,Cdh17,Pdia3,Grb14,Pthlh,Raet1a,Psca,Reep2,Flrt2,Smarcd1,Tnfsf15,Gfer,Tnf,Pik3r2,Erap1,Rasl11b,Ncl,Tnfsf9,Manf,Sema6b,Dpp4,Bmp2,Fbln1,Tigit,Fndc5,Bmp8b,Arrb2,Crlf1,Fcgr3,Cmtm7,Sema4f,Canx,Tacc2,Nbl1,Pdpn,Aqp1,Il1r1,Akap5,C1qbp,Itgb3,Flot1,Mbl2,Gprc5c,Frmd5,Lama4,Flt3,Gstk1,Il33,Il1a
GO:0043167	ion binding	1.2819227603279e-06	-13.5671494506351	5344	256	0.339072847682119	755	20347	209200,338521,27384,229937,19015,12557,19123,19882,80898,16971,20887,93761,70536,12554,16475,22217,14013,19349,109901,226075,213084,208748,94214,320311,23844,16514,75475,17195,17532,16570,83435,83396,110796,67676,14463,14782,230594,226101,13836,26561,17751,13511,18984,19824,67702,231646,68567,109594,21417,16598,11684,20377,12751,11770,74213,107589,50771,11486,238266,60344,229949,78925,242109,66616,19225,13850,72103,12217,330953,20720,13522,14423,56078,57908,80837,11529,53626,23972,11692,23959,214763,17975,70673,72160,72469,68939,19159,11744,244281,14183,30054,20698,18797,110596,242083,14255,18806,11980,71790,13490,83925,83395,76089,229603,109161,72085,260315,11686,14464,83671,230587,16404,212168,14218,224860,67773,26559,15552,80285,228765,72040,22165,20344,22337,56357,11727,193740,74012,574428,17318,14417,78752,101476,18720,12309,14579,268663,71586,18426,14734,226861,68867,233328,12330,18131,234878,227753,19215,12029,12261,27206,11433,16175,56437,320982,432442,170460,15200,20562,269424,71302,104174,19414,269639,268973,11669,15160,58234,22027,18584,66548,211978,14462,54003,18563,64292,18542,12142,12162,11807,238055,231602,226751,16819,330177,140859,68087,73707,242022,665113,382639,20198,19106,12556,66725,74574,75607,22793,71791,270672,17064,26431,22349,15558,547253,67921,223920,14114,12393,11307,11513,18479,20620,23888,14066,330812,26357,211389,75678,13113,71956,192187,20821,19672,18073,12831,69940,225326,12904,78373,15511,14200,14866,11502,51789,14426,78890,16997,20689,12399,15460,13819,217517,65945,231821,11595,27984,19703,19212,99377,23849,227541,18647,14120,329324,68915	Dtx3l,Fa2h,Akr1c13,Znhit6,Ppard,Cdh17,Proc,Mst1r,Erap1,Lrp1,Sult1a1,Smarca1,Qpct,Cdh13,Ajuba,Usp12,Mecom,Rab7,Cela1,Glis3,Cdkl3,Prrg3,Spock2,Rnf152,Clca1,Kcnj11,Oplah,Mbl2,Mras,Kif3c,Plekha3,Glis2,Tshz1,Rpp21,Gata4,Gsr,Zcchc11,Myof,Epha2,Mmp23,Mt3,Dsg2,Por,Trim10,Rnf149,Myo1h,Cgref1,Lmo1,Zeb1,Klf2,Alox12,Sfrp1,Tpp1,Fabp4,Rbm26,Mylk,Atp9b,Ada,Syt16,Fign,Ak5,Srd5a1,Zfp697,Snx9,Ptgs2,Ephx2,Aplf,Bsn,Hcn4,Serpine2,Adam28,Galnt1,Car5b,Zfp318,Rhoj,Adh7,Insm1,Papss2,Gfer,Nt5e,Mb21d1,Ncl,Prdm16,Tmem163,Plcd3,Rasl11b,Cyth3,Anxa11,Myo16,Fgfr2,Rnf17,Sphk1,Plcb3,Arhgef28,Ppm1l,Flt3,Pld2,Atp8a1,Anxa9,Drd3,Trps1,Sp6,Rapgef2,Otud7b,Ube2q2,Osgepl1,Nav3,Alox12b,Gata5,Sytl2,Glis1,Itga7,Zswim4,Sh3pxd2a,Plcl2,Kat8,Hunk,Htr1d,Parp9,Sdcbp2,Cdhr5,Txk,Selp,Vdr,Ivd,Ang,Hspa1a,Rap2b,Zmynd15,Mid1,Gad2,Csgalnact2,Plekha1,Pip5k1a,S100g,Gem,Cdhr2,Ifih1,Ovol1,Gpc3,Hhat,Rnf122,Lrrk1,Canx,Notch3,Map3k21,Gsn,Ptgds,Bcl6b,C1qbp,Nrk,Acp5,Il1a,Rrad,Arl4c,Akap7,Stard5,Hbegf,Slit1,Jade1,Arhgap26,Gldc,Rasa3,Zfp512,Nlrc4,Aldh2,Serpind1,Shank3,Hsp90b1,Pde8a,Adamtsl5,Zfyve26,Gata3,Nell2,Pcx,Ptges,Pcolce,Prdm1,Bmp7,Apoa2,Apob,P2rx2,Cdc42bpa,Lcn2,Taok3,Nek8,Dcakd,Gucy2g,Frem2,Tnik,Zbtb42,S100a4,Eif2ak2,Cdh16,Lrrk2,Lvrn,Wnk2,Zyx,Cpa4,Map3k15,Cd93,Git2,Vil1,Htr2a,Parp14,Ube2f,Soat2,Fbln1,Runx2,Abcg1,Adcy7,Pak1,Plk2,Gpc6,F3,Rnf150,Abcg2,Suox,Ippk,Cyp3a13,Rnf135,Stab1,Trim21,Rcn1,Nid1,Col5a1,Exoc1,Pik3c3,Crabp2,Nudt17,Hspa1b,Fhl2,Gstm5,Adam9,Tnk2,Galnt4,Trmt44,Ltbp2,Sall3,Runx3,Hr,Epas1,Stxbp6,Clstn1,Adap1,Acan,Efhd2,Renbp,Pter,Sall4,Klf6,Camk1d,Cdk14,Fbp2,Syt14,Vars2
GO:0098772	molecular function regulator	6.7287642281017e-06	-11.9091190525497	1630	95	0.125827814569536	755	20347	18709,228355,57785,21926,66725,11692,20723,326623,209200,57875,19227,399558,226970,11529,19015,74840,14734,269608,72318,21950,12406,59025,19159,26431,320207,71544,20708,207592,17965,56349,22349,20713,414801,102545,20355,12164,384061,12156,14114,59095,12931,81489,12672,110596,77125,16175,101497,268970,213539,110075,21788,19417,74136,117600,76089,67016,57349,67425,15200,50768,99662,15160,14218,71302,241308,72754,22409,282663,29815,18201,225849,268973,71704,102098,14697,80285,19703,18542,545481,19735,69550,20706,57442,19777,231821,20469,78405,210029,66283,18811,12162,56635,245684,20720,11807	Pik3r2,Madd,Rangrf,Tnf,Lrrk2,Gfer,Serpinb9,Tnfsf15,Dtx3l,Angptl4,Pthlh,Flrt2,Arhgef4,Adh7,Ppard,Manf,Gpc3,Plekhg5,Cyth4,Tnfsf9,Serpinh1,Usp14,Cyth3,Git2,Pik3r5,Arhgap42,Serpinb6b,Tbc1d16,Nbl1,Net1,Vil1,Serpini1,Itprip,Cmtm7,Sema4f,Bmp8b,Fndc5,Bmp2,Fbln1,Fxyd6,Crlf1,Dnajb1,Chrm4,Arhgef28,Il33,Il1a,Plekhg2,Arhgap28,Bag2,Bmp3,Tfpi,Rasgrf1,Sec14l1,Srgap1,Rapgef2,Tbc1d2b,Ppbp,Eps8l1,Hbegf,Dlc1,Eps8l3,Serpind1,Sh3pxd2a,Arhgap26,Ralgps1,Arhgef10l,Wnt10a,Serpinb1b,Bcar3,Nsmaf,Ppp2r5b,Nlrc4,Arhgef3,Arhgef18,Gnb5,Parp9,Renbp,Pcolce,Arhgap40,Rgs2,Bst2,Serpinb9b,Kcne3,Uri1,Adap1,Sipa1,Ntf5,Metrnl,Gkn1,Prl2c2,Bmp7,Prl2a1,Cnksr2,Serpine2,Apoa2
GO:0017048	Rho GTPase binding	7.93577861726414e-06	-11.7441290843809	160	19	0.0251655629139073	755	20347	101497,269608,110596,99662,72754,117600,56349,66725,19417,71704,102098,623781,57778,18479,67425,226970,217517,19349,69940	Plekhg2,Plekhg5,Arhgef28,Eps8l3,Arhgef10l,Srgap1,Net1,Lrrk2,Rasgrf1,Arhgef3,Arhgef18,Gm14137,Fmnl1,Pak1,Eps8l1,Arhgef4,Stxbp6,Rab7,Exoc1
GO:1901681	sulfur compound binding	2.68934785883377e-05	-10.5236267324081	237	23	0.0304635761589404	755	20347	11727,14183,14734,15160,20377,20344,238055,20720,16997,12162,14866,23888,18542,64292,18563,20887,54003,15200,20562,223920,14782,66548,12831	Ang,Fgfr2,Gpc3,Serpind1,Sfrp1,Selp,Apob,Serpine2,Ltbp2,Bmp7,Gstm5,Gpc6,Pcolce,Ptges,Pcx,Sult1a1,Nell2,Hbegf,Slit1,Soat2,Gsr,Adamtsl5,Col5a1
GO:0005089	Rho guanyl-nucleotide exchange factor activity	5.01379142092117e-05	-9.90073306543702	70	11	0.0145695364238411	755	20347	269608,56349,101497,110596,19417,71704,102098,99662,67425,72754,226970	Plekhg5,Net1,Plekhg2,Arhgef28,Rasgrf1,Arhgef3,Arhgef18,Eps8l3,Eps8l1,Arhgef10l,Arhgef4
GO:0004908	interleukin-1 receptor activity	6.01888590505347e-05	-9.71802328838199	7	4	0.00529801324503311	755	20347	17082,16177,16174,16180	Il1rl1,Il1r1,Il18rap,Il1rap
GO:0008289	lipid binding	6.61221786692446e-05	-9.62400633532374	719	48	0.0635761589403974	755	20347	226101,71790,50768,19015,13609,11529,170460,27384,18806,75761,69940,74090,76089,12309,12904,21763,101476,19159,19378,83671,71302,14218,72318,11744,11770,66616,231821,211978,226519,223920,217517,238266,22349,74229,72543,228765,17195,22337,238055,20344,11807,19215,14066,71904,329324,192212,83435,231602	Myof,Anxa9,Dlc1,Ppard,S1pr1,Adh7,Stard5,Akr1c13,Pld2,Apol7a,Exoc1,Paqr5,Rapgef2,S100g,Crabp2,Tex2,Plekha1,Cyth3,Aldh1a2,Sytl2,Arhgap26,Sh3pxd2a,Cyth4,Anxa11,Fabp4,Snx9,Adap1,Zfyve26,Lamc1,Soat2,Stxbp6,Syt16,Vil1,Paqr8,Mvb12b,Sdcbp2,Mbl2,Vdr,Apob,Selp,Apoa2,Ptgds,F3,Paqr7,Syt14,Prom2,Plekha3,P2rx2
