TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PS50003	PH_DOMAIN	5.35234156917482e-06	-12.1379764163275	238	26	0.0477941176470588	544	13240	19159,71704,83435,241308,101476,19417,50915,110596,233765,269608,231821,14783,106877,26936,71544,56349,67016,226970,224860,101497,245684,102098,72318,19414,71302,226751	Cyth3,Arhgef3,Plekha3,Ralgps1,Plekha1,Rasgrf1,Grb14,Arhgef28,Plekha7,Plekhg5,Adap1,Grb10,Afap1l1,Mprip,Arhgap42,Net1,Tbc1d2b,Arhgef4,Plcl2,Plekhg2,Cnksr2,Arhgef18,Cyth4,Rasa3,Arhgap26,Cdc42bpa
PS51114	FBA	3.9584842832605e-05	-10.1370642697263	6	4	0.00735294117647059	544	13240	233040,50760,233038,230904	Fbxo27,Fbxo17,Nccrp1,Fbxo2
PS00344	GATA_ZN_FINGER_1	8.93581435827788e-05	-9.32285817800754	7	4	0.00735294117647059	544	13240	83925,14463,14464,14462	Trps1,Gata4,Gata5,Gata3
PS01186	EGF_2	0.000163116999886742	-8.72104282392985	211	21	0.0386029411764706	544	13240	192187,20562,16416,18131,20344,11502,19123,14114,224024,13836,54003,13522,23966,16971,634731,17064,226255,18073,16997,15200,73182	Stab1,Slit1,Itgb3,Notch3,Selp,Adam9,Proc,Fbln1,Scarf2,Epha2,Nell2,Adam28,Tenm4,Lrp1,Susd1,Cd93,Atrnl1,Nid1,Ltbp2,Hbegf,Pear1
PS50026	EGF_3	0.000217650011632132	-8.43262223652176	200	20	0.0367647058823529	544	13240	13522,54003,634731,16971,23966,16997,18073,226255,17064,73182,15200,20562,192187,20344,18131,19225,14114,11502,19123,224024	Adam28,Nell2,Susd1,Lrp1,Tenm4,Ltbp2,Nid1,Atrnl1,Cd93,Pear1,Hbegf,Slit1,Stab1,Selp,Notch3,Ptgs2,Fbln1,Adam9,Proc,Scarf2
PS50114	GATA_ZN_FINGER_2	0.0004856140322489	-7.63009642191305	10	4	0.00735294117647059	544	13240	14462,14463,14464,83925	Gata3,Gata4,Gata5,Trps1
PS00284	SERPIN	0.000785566317888577	-7.14910567622124	49	8	0.0147058823529412	544	13240	12406,20706,15160,20713,20708,20723,282663,20720	Serpinh1,Serpinb9b,Serpind1,Serpini1,Serpinb6b,Serpinb9,Serpinb1b,Serpine2
PS00022	EGF_1	0.00103421167680522	-6.8741158074014	162	16	0.0294117647058824	544	13240	224024,19123,20344,18131,20562,192187,16416,16775,73182,15200,226255,16997,18073,16971,23966,54003	Scarf2,Proc,Selp,Notch3,Slit1,Stab1,Itgb3,Lama4,Pear1,Hbegf,Atrnl1,Ltbp2,Nid1,Lrp1,Tenm4,Nell2
PS50010	DH_2	0.0015946787382446	-6.44108298106113	67	9	0.0165441176470588	544	13240	102098,19417,110596,269608,72754,71704,56349,226970,101497	Arhgef18,Rasgrf1,Arhgef28,Plekhg5,Arhgef10l,Arhgef3,Net1,Arhgef4,Plekhg2
PS50104	TIR	0.00209038641975711	-6.1704063402595	23	5	0.00919117647058824	544	13240	16180,16174,16177,16182,17082	Il1rap,Il18rap,Il1r1,Il18r1,Il1rl1
PS01187	EGF_CA	0.00477927595493759	-5.34346621781453	93	10	0.0183823529411765	544	13240	20562,54003,18131,16971,634731,19123,17064,14114,18073,16997	Slit1,Nell2,Notch3,Lrp1,Susd1,Proc,Cd93,Fbln1,Nid1,Ltbp2
PS51154	MACRO	0.00481298177137323	-5.33643847604144	9	3	0.00551470588235294	544	13240	80285,547253,404634	Parp9,Parp14,H2afy2
PS51062	RUNT	0.0049176531433646	-5.3149238656614	3	2	0.00367647058823529	544	13240	12399,12393	Runx3,Runx2
PS00070	ALDEHYDE_DEHYDR_CYS	0.00667720526377023	-5.00905575266336	19	4	0.00735294117647059	544	13240	19378,107747,11669,16997	Aldh1a2,Aldh1l1,Aldh2,Ltbp2
PS50002	SH3	0.00688898340843795	-4.97783175078769	213	17	0.03125	544	13240	66616,226970,71544,117600,22165,71302,53618,231147,14218,234878,20411,18709,67425,58234,99662,225608,51789	Snx9,Arhgef4,Arhgap42,Srgap1,Txk,Arhgap26,Fut8,Sh3tc1,Sh3pxd2a,Map3k21,Sorbs1,Pik3r2,Eps8l1,Shank3,Eps8l3,Sh3tc2,Tnk2
PS50268	CADHERIN_2	0.00848112590780531	-4.76991206584491	57	7	0.0128676470588235	544	13240	12554,65945,268663,12557,72040,13511,12556	Cdh13,Clstn1,Cdhr2,Cdh17,Cdhr5,Dsg2,Cdh16
PS00349	CTF_NFI_1	0.0095677766741332	-4.64935442296044	4	2	0.00367647058823529	544	13240	18032,18029	Nfix,Nfic
PS51080	CTF_NFI_2	0.0095677766741332	-4.64935442296044	4	2	0.00367647058823529	544	13240	18032,18029	Nfix,Nfic
PS51424	ROC	0.0095677766741332	-4.64935442296044	4	2	0.00367647058823529	544	13240	66725,233328	Lrrk2,Lrrk1
PS51421	RAS	0.0119319123484524	-4.42853875827914	34	5	0.00919117647058824	544	13240	74012,17532,56437,14579,68939	Rap2b,Mras,Rrad,Gem,Rasl11b
PS01241	LINK_1	0.0144971655553945	-4.23380212760242	13	3	0.00551470588235294	544	13240	11595,330790,192187	Acan,Hapln4,Stab1
PS00191	CYTOCHROME_B5_1	0.0155140512887818	-4.16600913095129	5	2	0.00367647058823529	544	13240	211389,338521	Suox,Fa2h
PS51135	CIDE_N	0.0155140512887818	-4.16600913095129	5	2	0.00367647058823529	544	13240	14311,12684	Cidec,Cideb
PS00741	DH_1	0.0155705962830796	-4.16237099694728	24	4	0.00735294117647059	544	13240	19417,56349,226970,71704	Rasgrf1,Net1,Arhgef4,Arhgef3
PS50238	RHOGAP	0.0168909763961597	-4.08097574070603	65	7	0.0128676470588235	544	13240	117600,545481,50768,71544,268970,18709,71302	Srgap1,Arhgap40,Dlc1,Arhgap42,Arhgap28,Pik3r2,Arhgap26
PS00010	ASX_HYDROXYL	0.0170434810501822	-4.07198749146219	96	9	0.0165441176470588	544	13240	16997,18073,14114,19123,17064,54003,634731,16971,18131	Ltbp2,Nid1,Fbln1,Proc,Cd93,Nell2,Susd1,Lrp1,Notch3
PS50963	LINK_2	0.0178973379221425	-4.02310329662864	14	3	0.00551470588235294	544	13240	192187,330790,11595	Stab1,Hapln4,Acan
PS50056	TYR_PHOSPHATASE_2	0.0179166366695421	-4.02202557490199	81	8	0.0147058823529412	544	13240	19267,67603,240672,19275,545902,229776,19252,19279	Ptpre,Dusp6,Dusp5,Ptprn,Ptprh,Cdc14a,Dusp1,Ptprr
PS50008	PIPLC_Y_DOMAIN	0.0217019438162795	-3.83035344566041	15	3	0.00551470588235294	544	13240	18797,72469,224860	Plcb3,Plcd3,Plcl2
PS50219	CNH	0.0217019438162795	-3.83035344566041	15	3	0.00551470588235294	544	13240	27206,665113,226751	Nrk,Tnik,Cdc42bpa
PS51403	NC1_IV	0.0226425046019351	-3.78792640447195	6	2	0.00367647058823529	544	13240	94216,12827	Col4a6,Col4a2
PS51670	SHKT	0.0226425046019351	-3.78792640447195	6	2	0.00367647058823529	544	13240	26561,11571	Mmp23,Crisp1
