TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
R-MMU-2162123	Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	0.000234544291444155	-8.35786611181831	15	5	0.0142450142450142	351	8608	96979,19215,64292,27384,19225	Ptges2,Ptgds,Ptges,Akr1c13,Ptgs2
R-MMU-194840	Rho GTPase cycle	0.000640230874717441	-7.35368170491621	127	14	0.0398860398860399	351	8608	56349,80837,50768,71704,211896,18709,226970,269608,117600,102098,268970,545481,101497,71302	Net1,Rhoj,Dlc1,Arhgef3,Depdc7,Pik3r2,Arhgef4,Plekhg5,Srgap1,Arhgef18,Arhgap28,Arhgap40,Plekhg2,Arhgap26
R-MMU-186712	Regulation of beta-cell development	0.00113875895034177	-6.77781624962581	30	6	0.0170940170940171	351	8608	18096,21410,18088,53626,20526,19664	Nkx6-1,Hnf1b,Nkx2-2,Insm1,Slc2a2,Rbpj
R-MMU-140877	Formation of Fibrin Clot (Clotting Cascade)	0.00459656425256188	-5.38244615617405	39	6	0.0170940170940171	351	8608	15160,12261,14066,20720,19123,21788	Serpind1,C1qbp,F3,Serpine2,Proc,Tfpi
R-MMU-425986	Sodium/Proton exchangers	0.00469975542154552	-5.36024480958918	9	3	0.00854700854700855	351	8608	226999,110895,331004	Slc9a2,Slc9a4,Slc9a9
R-MMU-193648	NRAGE signals death through JNK	0.00485583431793295	-5.32757434484882	52	7	0.0199430199430199	351	8608	269608,226970,78405,102098,71704,101497,56349	Plekhg5,Arhgef4,Ntf5,Arhgef18,Arhgef3,Plekhg2,Net1
R-MMU-975634	Retinoid metabolism and transport	0.0074944703176493	-4.89358982135263	43	6	0.0170940170940171	351	8608	23888,238055,11807,14734,27384,16971	Gpc6,Apob,Apoa2,Gpc3,Akr1c13,Lrp1
R-MMU-1483255	PI Metabolism	0.0079833508177432	-4.83039705368175	71	8	0.0227920227920228	351	8608	18709,233552,170835,320207,101476,225326,83435,18720	Pik3r2,Gdpd5,Inpp5j,Pik3r5,Plekha1,Pik3c3,Plekha3,Pip5k1a
R-MMU-1430728	Metabolism	0.00811319265681708	-4.81426381917088	1840	94	0.267806267806268	351	8608	26357,23888,18797,338521,74442,11864,223920,11669,76263,11513,13113,216225,211389,20526,233781,57875,170460,14866,26943,75678,11307,83435,242083,18563,19015,54613,229949,11433,211666,56357,17961,78752,108096,101476,19215,11826,14734,64292,78925,74167,13850,20698,11686,18709,14420,16514,17751,320207,14311,19225,18720,236899,104174,69574,26897,212503,11807,68262,67164,80879,23959,20887,67260,238055,212980,11684,170835,114479,233552,26568,14120,107747,18984,225326,75475,23972,18806,14782,14697,212111,11770,232714,80285,16971,22235,96979,72469,171504,114664,27384,67092,11529,11486,56078	Abcg2,Gpc6,Plcb3,Fa2h,Sgms2,Arnt2,Soat2,Aldh2,Gstk1,Adcy7,Cyp3a13,Slc5a8,Suox,Slc2a2,Xylt1,Angptl4,Stard5,Gstm5,Serinc3,Ippk,Abcg1,Plekha3,Ppm1l,Pcx,Ppard,St3gal6,Ak5,Acp5,Mgst2,Ivd,Nat2,Csgalnact2,Slco1a5,Plekha1,Ptgds,Aqp1,Gpc3,Ptges,Srd5a1,Nudt9,Ephx2,Sphk1,Alox12b,Pik3r2,Galc,Kcnj11,Mt3,Pik3r5,Cidec,Ptgs2,Pip5k1a,Pcyt1b,Gldc,Cmbl,Acot1,Paox,Apoa2,Agpat4,Lipt2,Slc16a3,Nt5e,Sult1a1,Cers4,Apob,Slc45a3,Alox12,Inpp5j,Slc5a5,Gdpd5,Slc27a3,Fbp2,Aldh1l1,Por,Pik3c3,Oplah,Papss2,Pld2,Gsr,Gnb5,Inpp5a,Fabp4,Mgam,Parp9,Lrp1,Ugdh,Ptges2,Plcd3,Apobr,Hsd17b11,Akr1c13,Gatm,Adh7,Ada,Car5b
R-MMU-2142753	Arachidonic acid metabolism	0.00867208044622262	-4.74764655778006	72	8	0.0227920227920228	351	8608	96979,13850,19225,64292,11684,11686,19215,27384	Ptges2,Ephx2,Ptgs2,Ptges,Alox12,Alox12b,Ptgds,Akr1c13
