TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
SM00233	PH	8.25491782359152e-06	-11.7047014353853	253	29	0.0641592920353982	452	9565	241308,71704,56349,110596,224860,14783,101476,71544,50915,83435,102098,72469,19414,71302,269608,233765,19417,231821,18806,226751,26936,19159,101497,106877,72318,245684,226970,21664,67016	Ralgps1,Arhgef3,Net1,Arhgef28,Plcl2,Grb10,Plekha1,Arhgap42,Grb14,Plekha3,Arhgef18,Plcd3,Rasa3,Arhgap26,Plekhg5,Plekha7,Rasgrf1,Adap1,Pld2,Cdc42bpa,Mprip,Cyth3,Plekhg2,Afap1l1,Cyth4,Cnksr2,Arhgef4,Phlda1,Tbc1d2b
SM01198	FBA	6.84286691778567e-05	-9.58971868112327	6	4	0.00884955752212389	452	9565	230904,233038,50760,233040	Fbxo2,Nccrp1,Fbxo17,Fbxo27
SM00262	GEL	0.000295930824708276	-8.12538483126226	8	4	0.00884955752212389	452	9565	12332,227753,11567,22349	Capg,Gsn,Avil,Vil1
SM00134	LU	0.00154424434354307	-6.47322058631026	19	5	0.0110619469026549	452	9565	76486,67038,625599,72373,17067	Ly6k,2010109I03Rik,Gml,Psca,Ly6c1
SM00181	EGF	0.00164037134833629	-6.41283263086549	176	18	0.0398230088495575	452	9565	14114,18073,224024,17064,16997,226255,18131,20562,226519,23966,634731,192187,16971,73182,16775,19123,54003,20344	Fbln1,Nid1,Scarf2,Cd93,Ltbp2,Atrnl1,Notch3,Slit1,Lamc1,Tenm4,Susd1,Stab1,Lrp1,Pear1,Lama4,Proc,Nell2,Selp
SM00401	ZnF_GATA	0.00179849952819978	-6.32080255715847	12	4	0.00884955752212389	452	9565	14463,14462,83925,14464	Gata4,Gata3,Trps1,Gata5
SM01313	Sec3-PIP2_bind	0.00222838606960722	-6.1064776911353	2	2	0.00442477876106195	452	9565	217517,69940	Stxbp6,Exoc1
SM00325	RhoGEF	0.00328801643769893	-5.71747080250054	65	9	0.0199115044247788	452	9565	226970,101497,102098,19417,269608,110596,72754,56349,71704	Arhgef4,Plekhg2,Arhgef18,Rasgrf1,Plekhg5,Arhgef28,Arhgef10l,Net1,Arhgef3
SM00255	TIR	0.00382286322430967	-5.56675560196525	23	5	0.0110619469026549	452	9565	17082,16180,16174,16177,16182	Il1rl1,Il1rap,Il18rap,Il1r1,Il18r1
SM00506	A1pp	0.0049126939156134	-5.31593282864962	8	3	0.00663716814159292	452	9565	404634,80285,547253	H2afy2,Parp9,Parp14
SM00180	EGF_Lam	0.00543819097809807	-5.21430881420903	35	6	0.0132743362831858	452	9565	226519,226255,192187,224024,16775,73182	Lamc1,Atrnl1,Stab1,Scarf2,Lama4,Pear1
SM00093	SERPIN	0.00839050319760164	-4.78065478442527	62	8	0.0176991150442478	452	9565	20706,20723,282663,20720,20708,12406,15160,20713	Serpinb9b,Serpinb9,Serpinb1b,Serpine2,Serpinb6b,Serpinh1,Serpind1,Serpini1
SM00326	SH3	0.0113819157587986	-4.47572952009387	196	17	0.0376106194690266	452	9565	18709,71302,117600,99662,53618,226970,67425,225608,51789,231147,234878,71544,20411,66616,22165,14218,58234	Pik3r2,Arhgap26,Srgap1,Eps8l3,Fut8,Arhgef4,Eps8l1,Sh3tc2,Tnk2,Sh3tc1,Map3k21,Arhgap42,Sorbs1,Snx9,Txk,Sh3pxd2a,Shank3
SM00179	EGF_CA	0.0125178978934303	-4.38059582729271	122	12	0.0265486725663717	452	9565	16997,17064,19123,18131,20344,54003,14114,20562,634731,192187,18073,16971	Ltbp2,Cd93,Proc,Notch3,Selp,Nell2,Fbln1,Slit1,Susd1,Stab1,Nid1,Lrp1
SM01265	Mab-21	0.0167596345477891	-4.08878198919045	12	3	0.00663716814159292	452	9565	319622,414801,214763	Itpripl2,Itprip,Mb21d1
SM01391	Filament	0.0182982173863428	-4.00095163446184	71	8	0.0176991150442478	452	9565	332131,237934,94179,223917,74127,66809,12075,268482	Krt78,Krt39,Krt23,Krt79,Krt80,Krt20,Bfsp1,Krt12
SM01201	FerB	0.0202596009653096	-3.89912647604611	5	2	0.00442477876106195	452	9565	226101,74562	Myof,Fer1l4
SM01202	FerI	0.0202596009653096	-3.89912647604611	5	2	0.00442477876106195	452	9565	74562,226101	Fer1l4,Myof
SM00266	CAD	0.0202596009653096	-3.89912647604611	5	2	0.00442477876106195	452	9565	12684,14311	Cideb,Cidec
SM00036	CNH	0.0210370188206655	-3.86147159218476	13	3	0.00663716814159292	452	9565	665113,226751,27206	Tnik,Cdc42bpa,Nrk
SM00404	PTPc_motif	0.0242208482437613	-3.72054151901954	61	7	0.0154867256637168	452	9565	19267,240672,545902,19275,229776,19279,19252	Ptpre,Dusp5,Ptprh,Ptprn,Cdc14a,Ptprr,Dusp1
SM00445	LINK	0.0258544904358942	-3.65527098186059	14	3	0.00663716814159292	452	9565	330790,11595,192187	Hapln4,Acan,Stab1
SM00111	C4	0.0294474920547334	-3.52514653194262	6	2	0.00442477876106195	452	9565	12827,94216	Col4a2,Col4a6
SM00257	LysM	0.0294474920547334	-3.52514653194262	6	2	0.00442477876106195	452	9565	70082,170719	Lysmd2,Oxr1
SM00324	RhoGAP	0.0306017421937347	-3.48669833720873	64	7	0.0154867256637168	452	9565	71544,71302,50768,268970,18709,545481,117600	Arhgap42,Arhgap26,Dlc1,Arhgap28,Pik3r2,Arhgap40,Srgap1
SM00149	PLCYc	0.0312106553480199	-3.46699572490581	15	3	0.00663716814159292	452	9565	18797,72469,224860	Plcb3,Plcd3,Plcl2
SM00207	TNF	0.0371002796175672	-3.2941307725355	16	3	0.00663716814159292	452	9565	21950,21926,326623	Tnfsf9,Tnf,Tnfsf15
SM00643	C345C	0.0371002796175672	-3.2941307725355	16	3	0.00663716814159292	452	9565	66548,20377,18542	Adamtsl5,Sfrp1,Pcolce
SM00032	CCP	0.0378615899562587	-3.27381813840767	53	6	0.0132743362831858	452	9565	20344,12269,14962,634731,66329,11595	Selp,C4bp,Cfb,Susd1,Susd3,Acan
SM00423	PSI	0.038867345715362	-3.24760082265075	40	5	0.0110619469026549	452	9565	18845,20355,19882,226255,16416	Plxna2,Sema4f,Mst1r,Atrnl1,Itgb3
SM01109	CUT	0.0399539257751855	-3.2200283443841	7	2	0.00442477876106195	452	9565	225631,13047	Onecut2,Cux1
SM00147	RasGEF	0.0410171690516035	-3.19376454257604	28	4	0.00884955752212389	452	9565	76089,19417,241308,29815	Rapgef2,Rasgrf1,Ralgps1,Bcar3
SM00314	RA	0.0458692775211497	-3.08195972107155	29	4	0.00884955752212389	452	9565	76089,14783,237504,50915	Rapgef2,Grb10,Rassf9,Grb14
SM00984	UDPG_MGDP_dh_C	0.0472556194443798	-3.05218370207422	1	1	0.00221238938053097	452	9565	22235	Ugdh
SM01169	DUF1943	0.0472556194443798	-3.05218370207422	1	1	0.00221238938053097	452	9565	238055	Apob
SM00254	ShKT	0.0472556194443798	-3.05218370207422	1	1	0.00221238938053097	452	9565	26561	Mmp23
SM00944	Pro-kuma_activ	0.0472556194443798	-3.05218370207422	1	1	0.00221238938053097	452	9565	12751	Tpp1
SM00148	PLCXc	0.0504426884225362	-2.98691746988992	18	3	0.00663716814159292	452	9565	224860,72469,18797	Plcl2,Plcd3,Plcb3
SM00153	VHP	0.0516343363954775	-2.96356839377679	8	2	0.00442477876106195	452	9565	11567,22349	Avil,Vil1
SM00630	Sema	0.0564885239949344	-2.87371777659432	31	4	0.00884955752212389	452	9565	19882,20359,20355,18845	Mst1r,Sema6b,Sema4f,Plxna2
SM01190	EMP24_GP25L	0.077991479871376	-2.5511556906771	10	2	0.00442477876106195	452	9565	66269,68581	Tmed6,Tmed10
SM00128	IPPc	0.077991479871376	-2.5511556906771	10	2	0.00442477876106195	452	9565	212111,170835	Inpp5a,Inpp5j
SM01039	BRICHOS	0.077991479871376	-2.5511556906771	10	2	0.00442477876106195	452	9565	66284,66283	Gkn2,Gkn1
SM00195	DSPc	0.0813033474351594	-2.50956808941179	35	4	0.00884955752212389	452	9565	240672,229776,19252,67603	Dusp5,Cdc14a,Dusp1,Dusp6
SM00204	TGFB	0.0813033474351594	-2.50956808941179	35	4	0.00884955752212389	452	9565	12156,12162,110075,12164	Bmp2,Bmp7,Bmp3,Bmp8b
SM00210	TSPN	0.0829792924801937	-2.48916419050333	22	3	0.00663716814159292	452	9565	12831,107581,54003	Col5a1,Col16a1,Nell2
SM00450	RHOD	0.0922272881260539	-2.38349922554906	23	3	0.00663716814159292	452	9565	240672,67603,19252	Dusp5,Dusp6,Dusp1
SM01267	LAG1_DNAbind	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	19664	Rbpj
SM01268	BTD	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	19664	Rbpj
SM00087	PTH	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	19227	Pthlh
SM00638	LPD_N	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	238055	Apob
SM00555	GIT	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	26431	Git2
SM01258	KRBA1	0.0922828528195048	-2.38289693133536	2	1	0.00221238938053097	452	9565	77827	Krba1
SM00194	PTPc	0.0954193922634458	-2.34947344798336	37	4	0.00884955752212389	452	9565	19267,545902,19275,19279	Ptpre,Ptprh,Ptprn,Ptprr
SM00523	DWA	0.107563750024204	-2.22967158370239	12	2	0.00442477876106195	452	9565	18029,18032	Nfic,Nfix
SM00335	ANX	0.107563750024204	-2.22967158370239	12	2	0.00442477876106195	452	9565	11744,71790	Anxa11,Anxa9
SM00239	C2	0.122932531312346	-2.09611960002098	122	9	0.0199115044247788	452	9565	74562,72469,329324,83671,224860,226101,238266,18797,19414	Fer1l4,Plcd3,Syt14,Sytl2,Plcl2,Myof,Syt16,Plcb3,Rasa3
SM00449	SPRY	0.124027972667543	-2.08724815278923	72	6	0.0132743362831858	452	9565	12231,19824,20821,71956,17318,211949	Btn1a1,Trim10,Trim21,Rnf135,Mid1,Spsb4
SM00429	IPT	0.133036256052646	-2.01713358600993	27	3	0.00663716814159292	452	9565	19882,54446,18845	Mst1r,Nfat5,Plxna2
SM00151	SWIB	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	83797	Smarcd1
SM00459	Sorb	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	20411	Sorbs1
SM01334	DUF3454	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	18131	Notch3
SM00712	PUR	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	19290	Pura
SM00773	WGR	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	235587	Parp3
SM00736	CADG	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	20392	Sgce
SM00682	G2F	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	18073	Nid1
SM01200	FerA	0.135186559873429	-2.00109952953489	3	1	0.00221238938053097	452	9565	226101	Myof
SM00234	START	0.139536115055622	-1.96943182193915	14	2	0.00442477876106195	452	9565	170460,50768	Stard5,Dlc1
SM00135	LY	0.139536115055622	-1.96943182193915	14	2	0.00442477876106195	452	9565	18073,16971	Nid1,Lrp1
SM00498	FH2	0.156201570398118	-1.85660798786193	15	2	0.00442477876106195	452	9565	229474,57778	Fhdc1,Fmnl1
SM01117	Cyt-b5	0.156201570398118	-1.85660798786193	15	2	0.00442477876106195	452	9565	211389,338521	Suox,Fa2h
SM00285	PBD	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	18479,226751	Pak1,Cdc42bpa
SM00568	GRAM	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	107022,18201	Gramd3,Nsmaf
SM00069	GLA	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	208748,19123	Prrg3,Proc
SM00222	Sec7	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	19159,72318	Cyth3,Cyth4
SM00086	PAC	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	11864,13819	Arnt2,Epas1
SM00724	TLC	0.173216040510242	-1.75321567449635	16	2	0.00442477876106195	452	9565	68385,67260	Tlcd1,Cers4
SM00140	NGF	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	78405	Ntf5
SM00554	FAS1	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	192187	Stab1
SM00693	DysFN	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	226101	Myof
SM01339	NODP	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	18131	Notch3
SM01338	NOD	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	18131	Notch3
SM00426	TEA	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	21678	Tead3
SM00694	DysFC	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	226101	Myof
SM01249	KASH	0.17606667647278	-1.73689251209176	4	1	0.00221238938053097	452	9565	233066	Syne4
SM00406	IGv	0.176368480471008	-1.73517983351214	80	6	0.0132743362831858	452	9565	11595,12231,59290,57276,100043314,330790	Acan,Btn1a1,Gpa33,Vsig2,Tigit,Hapln4
SM00219	TyrKc	0.183469656070935	-1.69570598717257	81	6	0.0132743362831858	452	9565	22165,19882,13836,14183,14255,51789	Txk,Mst1r,Epha2,Fgfr2,Flt3,Tnk2
SM00112	CA	0.188423642804758	-1.66906243211916	117	8	0.0176991150442478	452	9565	93887,12556,268663,12554,13511,72040,12557,65945	Pcdhb16,Cdh16,Cdhr2,Cdh13,Dsg2,Cdhr5,Cdh17,Clstn1
SM00211	TY	0.190509541522935	-1.65805299893511	17	2	0.00442477876106195	452	9565	94214,18073	Spock2,Nid1
SM00454	SAM	0.19068210034045	-1.65714763370487	82	6	0.0132743362831858	452	9565	353282,245684,268297,58234,16470,13836	Sfmbt2,Cnksr2,Scml4,Shank3,Ush1g,Epha2
