TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
WP318	Eicosanoid Synthesis	0.00133660743215732	-6.61762064240798	19	5	0.0226244343891403	221	4813	19215,19225,64292,11684,96979	Ptgds,Ptgs2,Ptges,Alox12,Ptges2
WP202	Hypertrophy Model	0.00171635642495179	-6.36755159263608	20	5	0.0226244343891403	221	4813	21417,11910,15200,16177,16175	Zeb1,Atf3,Hbegf,Il1r1,Il1a
WP1270	Endochondral Ossification	0.001865416622435	-6.28427086078862	62	9	0.0407239819004525	221	4813	12393,19228,19227,12162,12399,20682,11595,20679,12406	Runx2,Pth1r,Pthlh,Bmp7,Runx3,Sox9,Acan,Sox6,Serpinh1
WP523	Regulation of Actin Cytoskeleton	0.008960356906303	-4.71494521949588	151	14	0.0633484162895928	221	4813	225326,22350,320207,226970,18479,19241,12672,18709,22349,17532,227753,107589,18720,14183	Pik3c3,Ezr,Pik3r5,Arhgef4,Pak1,Tmsb4x,Chrm4,Pik3r2,Vil1,Mras,Gsn,Mylk,Pip5k1a,Fgfr2
WP2432	Spinal Cord Injury	0.0137718035243448	-4.28513199992009	98	10	0.0452488687782805	221	4813	21926,14609,233781,11595,18845,16175,16177,20682,20562,20344	Tnf,Gja1,Xylt1,Acan,Plxna2,Il1a,Il1r1,Sox9,Slit1,Selp
WP1272	Selenium Micronutrient Network	0.0139776624946249	-4.27029475968838	21	4	0.0180995475113122	221	4813	14778,14782,64292,19215	Gpx3,Gsr,Ptges,Ptgds
WP570	Monoamine GPCRs	0.0161765600900365	-4.12419199254847	33	5	0.0226244343891403	221	4813	13490,15552,12672,15562,15558	Drd3,Htr1d,Chrm4,Htr4,Htr2a
WP2310	PodNet: protein-protein interactions in the podocyte	0.01694400638517	-4.07784111328357	315	23	0.104072398190045	221	4813	14726,19664,18479,241308,16416,18073,26360,22337,18709,216869,13819,19261,68404,14066,22350,57875,226519,11867,19225,13047,76089,18131,12162	Pdpn,Rbpj,Pak1,Ralgps1,Itgb3,Nid1,Angptl2,Vdr,Pik3r2,Arrb2,Epas1,Sirpa,Nrn1,F3,Ezr,Angptl4,Lamc1,Arpc1b,Ptgs2,Cux1,Rapgef2,Notch3,Bmp7
WP1273	Folic Acid Network	0.0192521889105175	-3.95013051507552	23	4	0.0180995475113122	221	4813	64292,14782,14778,19215	Ptges,Gsr,Gpx3,Ptgds
WP1596	Iron Homeostasis	0.0238812121419921	-3.73466323203106	14	3	0.0135746606334842	221	4813	16175,21926,50765	Il1a,Tnf,Tfr2
WP493	MAPK signaling pathway	0.0299347050874324	-3.50873676641776	159	13	0.0588235294117647	221	4813	19279,18479,78405,193740,216869,16177,16175,17532,21926,69253,240672,19252,67603	Ptprr,Pak1,Ntf5,Hspa1a,Arrb2,Il1r1,Il1a,Mras,Tnf,Hspb2,Dusp5,Dusp1,Dusp6
WP33	Fatty Acid Omega Oxidation	0.0378345507273856	-3.27453255343013	7	2	0.00904977375565611	221	4813	11669,11529	Aldh2,Adh7
WP85	Focal Adhesion	0.0437703388882158	-3.12879888533236	185	14	0.0633484162895928	221	4813	16404,16416,107589,12827,18709,16775,12831,22793,18479,320207,51789,94216,226519,22165	Itga7,Itgb3,Mylk,Col4a2,Pik3r2,Lama4,Col5a1,Zyx,Pak1,Pik3r5,Tnk2,Col4a6,Lamc1,Txk
WP458	Inflammatory Response Pathway	0.046472963340156	-3.06888456903189	30	4	0.0180995475113122	221	4813	16192,21939,226519,16190	Il5ra,Cd40,Lamc1,Il4ra
WP3625	TYROBP Causal Network	0.0484895956100754	-3.02640602755576	58	6	0.0271493212669683	221	4813	15284,57442,218454,16923,12332,12399	Hlx,Kcne3,Lhfpl2,Sh2b3,Capg,Runx3
WP1266	SIDS Susceptibility Pathways	0.0594785746824503	-2.82213912064888	61	6	0.0271493212669683	221	4813	18088,15558,14462,22608,13798,21926	Nkx2-2,Htr2a,Gata3,Ybx1,En1,Tnf
WP449	Complement and Coagulation Cascades	0.0594785746824503	-2.82213912064888	61	6	0.0271493212669683	221	4813	12269,15160,19123,21788,14962,14066	C4bp,Serpind1,Proc,Tfpi,Cfb,F3
WP164	Glutathione metabolism	0.0611787585817343	-2.79395523170856	20	3	0.0135746606334842	221	4813	75475,14778,14782	Oplah,Gpx3,Gsr
WP57	Signal Transduction of S1P Receptor	0.0773449922898273	-2.55947944497898	22	3	0.0135746606334842	221	4813	20698,13609,18797	Sphk1,S1pr1,Plcb3
WP37	IL-1 Signaling Pathway	0.0876360318934882	-2.43456304262488	37	4	0.0180995475113122	221	4813	16180,19261,16175,16177	Il1rap,Sirpa,Il1a,Il1r1
WP201	Ptf1a related regulatory pathway	0.0878720904632198	-2.43187303934859	11	2	0.00904977375565611	221	4813	18096,19664	Nkx6-1,Rbpj
WP240	Alanine and aspartate metabolism	0.102357720517645	-2.27928153720732	12	2	0.00904977375565611	221	4813	14417,18563	Gad2,Pcx
WP2140	Serotonin and anxiety-related events	0.117439386892075	-2.14183293473519	13	2	0.00904977375565611	221	4813	15558,11838	Htr2a,Arc
WP1250	Arachidonate Epoxygenase   Epoxide Hydrolase	0.131549598178402	-2.02837132601664	3	1	0.00452488687782805	221	4813	13850	Ephx2
WP454	Osteoclast	0.133032416017714	-2.01716245100109	14	2	0.00904977375565611	221	4813	16416,11433	Itgb3,Acp5
WP412	Oxidative Stress	0.13515802573791	-2.00131062409453	28	3	0.0135746606334842	221	4813	14782,18032,14778	Gsr,Nfix,Gpx3
WP251	MAPK Cascade	0.145938869831882	-1.92456744473466	29	3	0.0135746606334842	221	4813	20469,18797,19414	Sipa1,Plcb3,Rasa3
WP2841	Focal Adhesion-PI3K-Akt-mTOR-signaling pathway	0.146696856169636	-1.91938702439933	320	19	0.085972850678733	221	4813	16416,16404,381810,16190,20526,13836,12831,94216,14183,269643,22027,12827,15375,225849,13819,16775,18709,320207,226519	Itgb3,Itga7,Lpar5,Il4ra,Slc2a2,Epha2,Col5a1,Col4a6,Fgfr2,Ppp2r2c,Hsp90b1,Col4a2,Foxa1,Ppp2r5b,Epas1,Lama4,Pik3r2,Pik3r5,Lamc1
WP447	Adipogenesis genes	0.156271244347974	-1.85616203578083	133	9	0.0407239819004525	221	4813	13819,19015,12156,14463,14462,110075,21926,23849,11770	Epas1,Ppard,Bmp2,Gata4,Gata3,Bmp3,Tnf,Klf6,Fabp4
WP431	Nuclear receptors in lipid metabolism and toxicity	0.156990637220114	-1.85156911095277	30	3	0.0135746606334842	221	4813	11307,22337,19015	Abcg1,Vdr,Ppard
WP1498	Dopaminergic Neurogenesis	0.156990637220114	-1.85156911095277	30	3	0.0135746606334842	221	4813	13798,18096,18088	En1,Nkx6-1,Nkx2-2
WP29	Notch Signaling Pathway	0.158759848673214	-1.84036260424728	46	4	0.0180995475113122	221	4813	19664,21926,209200,18131	Rbpj,Tnf,Dtx3l,Notch3
WP2316	PPAR signaling pathway	0.166644864118482	-1.79189029307423	81	6	0.0271493212669683	221	4813	57875,225579,11807,20411,11770,19015	Angptl4,Slc27a6,Apoa2,Sorbs1,Fabp4,Ppard
WP730	Glutathione and one carbon metabolism	0.168292118236675	-1.78205401051199	31	3	0.0135746606334842	221	4813	14782,14778,75475	Gsr,Gpx3,Oplah
WP6	Integrin-mediated Cell Adhesion	0.1683057854473	-1.78197280257526	99	7	0.0316742081447964	221	4813	22793,18479,16404,20411,18709,26431,16416	Zyx,Pak1,Itga7,Sorbs1,Pik3r2,Git2,Itgb3
WP2872	White fat cell differentiation	0.179822272552192	-1.71578629057749	32	3	0.0135746606334842	221	4813	14013,16598,14462	Mecom,Klf2,Gata3
WP2141	Serotonin and anxiety	0.182127369019844	-1.70304900689265	17	2	0.00904977375565611	221	4813	15558,11838	Htr2a,Arc
WP488	Alpha6-Beta4 Integrin Signaling Pathway	0.184744445486648	-1.6887817846307	66	5	0.0226244343891403	221	4813	226519,18479,23844,19882,18709	Lamc1,Pak1,Clca1,Mst1r,Pik3r2
WP1770	One carbon metabolism and related pathways	0.186117919659213	-1.68137482948481	49	4	0.0180995475113122	221	4813	236899,14782,14417,14778	Pcyt1b,Gsr,Gad2,Gpx3
WP1253	Type II interferon signaling (IFNG)	0.19156031210139	-1.65255257424726	33	3	0.0135746606334842	221	4813	15958,19106,16391	Ifit2,Eif2ak2,Irf9
WP1251	Metapathway biotransformation	0.198281562968837	-1.61806722322599	141	9	0.0407239819004525	221	4813	14866,13850,14782,20887,14778,76263,53897,17961,211666	Gstm5,Ephx2,Gsr,Sult1a1,Gpx3,Gstk1,Gal3st1,Nat2,Mgst2
