TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PR01536	INTRLKN1R12F	3.03060220514573e-05	-10.4041641176238	6	4	0.0178571428571429	224	5813	16177,17082,16174,16180	Il1r1,Il1rl1,Il18rap,Il1rap
PR00597	GELSOLIN	0.00013301225240413	-8.92506931064629	8	4	0.0178571428571429	224	5813	12332,22349,227753,11567	Capg,Vil1,Gsn,Avil
PR00619	GATAZNFINGER	0.00013301225240413	-8.92506931064629	8	4	0.0178571428571429	224	5813	14464,14463,83925,14462	Gata5,Gata4,Trps1,Gata3
PR01086	NAHEXCHNGR2	0.00147851914610828	-6.51671426907126	2	2	0.00892857142857143	224	5813	226999,110895	Slc9a2,Slc9a4
PR01084	NAHEXCHNGR	0.00399154414843756	-5.5235771183264	9	3	0.0133928571428571	224	5813	226999,110895,331004	Slc9a2,Slc9a4,Slc9a9
PR02107	INOS145TPRIP	0.00432258849996919	-5.44390086636097	3	2	0.00892857142857143	224	5813	319622,414801	Itpripl2,Itprip
PR00967	ONCOGENEAML1	0.00432258849996919	-5.44390086636097	3	2	0.00892857142857143	224	5813	12399,12393	Runx3,Runx2
PR01764	MAPKPHPHTASE	0.00554134278809042	-5.19551842707062	10	3	0.0133928571428571	224	5813	240672,19252,67603	Dusp5,Dusp1,Dusp6
PR00390	PHPHLIPASEC	0.0182252533415465	-4.0049471004133	15	3	0.0133928571428571	224	5813	18797,224860,72469	Plcb3,Plcl2,Plcd3
PR00259	TMFOUR	0.0187637121441683	-3.97583047949011	27	4	0.0178571428571429	224	5813	70747,269831,70423,12508	Tspan2,Tspan12,Tspan15,Cd53
PR01234	TNECROSISFCT	0.0200131555651068	-3.9113654434141	6	2	0.00892857142857143	224	5813	326623,21926	Tnfsf15,Tnf
PR00363	CYTOCHROMEB5	0.0200131555651068	-3.9113654434141	6	2	0.00892857142857143	224	5813	338521,211389	Fa2h,Suox
PR01267	GSTRNSFRASEM	0.027313858416211	-3.60036107130048	7	2	0.00892857142857143	224	5813	14866,14864	Gstm5,Gstm3
PR00467	MAMLPOXGNASE	0.027313858416211	-3.60036107130048	7	2	0.00892857142857143	224	5813	11684,11686	Alox12,Alox12b
PR00785	NCTRNSLOCATR	0.027313858416211	-3.60036107130048	7	2	0.00892857142857143	224	5813	11864,13819	Arnt2,Epas1
PR00087	LIPOXYGENASE	0.027313858416211	-3.60036107130048	7	2	0.00892857142857143	224	5813	11684,11686	Alox12,Alox12b
