TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
mouse chr13 A3.2|13 13.79 cM	mouse chr13 A3.2|13 13.79 cM	0.00110180073077268	-6.8108094096724	2	2	0.0024906600249066	803	24177	20723,20706	Serpinb9,Serpinb9b
mouse chr11 B3|11 42.99 cM	mouse chr11 B3|11 42.99 cM	0.00263897311968388	-5.937365407309	9	3	0.0037359900373599	803	24177	216869,18806,11684	Arrb2,Pld2,Alox12
mouse chrX|X F4	mouse chrX|X F4	0.00382636618316664	-5.56583970340469	20	4	0.0049813200498132	803	24177	245684,270672,237175,12309	Cnksr2,Map3k15,Adgrg2,S100g
mouse chr5|5 E5	mouse chr5|5 E5	0.00437767154419301	-5.4312383068638	33	5	0.0062266500622665	803	24177	114664,231549,100702,74167,76074	Hsd17b11,Lrrc8d,Gbp6,Nudt9,Gbp8
mouse chr7|7 E1	mouse chr7|7 E1	0.00603541662899476	-5.11011039135653	50	6	0.0074719800747198	803	24177	233552,66365,73845,244144,83671,12406	Gdpd5,Ccdc90b,Ankrd42,Usp35,Sytl2,Serpinh1
mouse chr16 A1|16 2.45 cM	mouse chr16 A1|16 2.45 cM	0.00632237749406061	-5.06365995579441	4	2	0.0024906600249066	803	24177	83396,66449	Glis2,Pam16
mouse chr1	mouse chr1	0.00695867966223505	-4.96776552633369	395	23	0.0286425902864259	803	24177	17975,19225,11807,19735,59290,226999,100039795,20720,13034,11910,16177,12269,15284,110895,17082,14131,98193,20344,72085,19275,226519,22349,13798	Ncl,Ptgs2,Apoa2,Rgs2,Gpa33,Slc9a2,Ildr2,Serpine2,Ctse,Atf3,Il1r1,C4bp,Hlx,Slc9a4,Il1rl1,Fcgr3,Dcaf8,Selp,Osgepl1,Ptprn,Lamc1,Vil1,En1
mouse chr18|18 D3	mouse chr18|18 D3	0.0131143243151741	-4.33405018699248	28	4	0.0049813200498132	803	24177	106878,225579,75084,107022	Smim3,Slc27a6,4930511M06Rik,Gramd3
mouse chr19	mouse chr19	0.0136639467648684	-4.29299453795724	195	13	0.0161892901618929	803	24177	100503104,73707,212398,52024,18797,107371,20469,18563,15242,104174,20411,23972,17195	Gm19557,Gucy2g,Frat2,Ankrd22,Plcb3,Exoc6,Sipa1,Pcx,Hhex,Gldc,Sorbs1,Papss2,Mbl2
mouse chr3 F1|3 40.14 cM	mouse chr3 F1|3 40.14 cM	0.0147953137964508	-4.21344478372658	16	3	0.0037359900373599	803	24177	20753,20761,16447	Sprr1a,Sprr2g,Ivl
mouse chr8	mouse chr8	0.0166447480166656	-4.09566054675009	334	19	0.0236612702366127	803	24177	14782,12554,18032,17961,11502,12931,18709,11733,100502950,12556,11513,19414,50768,20498,17751,52357,20377,12827,54446	Gsr,Cdh13,Nfix,Nat2,Adam9,Crlf1,Pik3r2,Ank1,Gm3336,Cdh16,Adcy7,Rasa3,Dlc1,Slc12a4,Mt3,Wwc2,Sfrp1,Col4a2,Nfat5
mouse chr18|18 E1	mouse chr18|18 E1	0.0167411508153957	-4.08988546984432	62	6	0.0074719800747198	803	24177	667742,106877,225631,15562,100503565,225608	Piezo2,Afap1l1,Onecut2,Htr4,Gm9926,Sh3tc2
mouse chr11|11 E2	mouse chr11|11 E2	0.0202890698038683	-3.89767297124864	184	12	0.0149439601494396	803	24177	69681,217294,210029,69602,80879,74136,20698,77583,67622,70355,207592,170720	Cdk3-ps,BC006965,Metrnl,Otop3,Slc16a3,Sec14l1,Sphk1,Notum,Mxra7,Gprc5c,Tbc1d16,Card14
mouse chr10|10 D1	mouse chr10|10 D1	0.0254218659908013	-3.67214560951049	34	4	0.0049813200498132	803	24177	237504,21664,260315,67603	Rassf9,Phlda1,Nav3,Dusp6
mouse chr3|3 E3	mouse chr3|3 E3	0.0254218659908013	-3.67214560951049	34	4	0.0049813200498132	803	24177	20713,73124,76089,56426	Serpini1,Golim4,Rapgef2,Pdcd10
mouse chr1|1 H6	mouse chr1|1 H6	0.0254218659908013	-3.67214560951049	34	4	0.0049813200498132	803	24177	18845,214791,226861,329324	Plxna2,Sertad4,Hhat,Syt14
mouse chr12|12 D1-D2	mouse chr12|12 D1-D2	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	68581	Tmed10
mouse chr11 E1|11 69.46 cM	mouse chr11 E1|11 69.46 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	21763	Tex2
mouse chr3 C|3 25.24 cM	mouse chr3 C|3 25.24 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	242022	Frem2
mouse chr8 E1|8 65.97 cM	mouse chr8 E1|8 65.97 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12554	Cdh13
mouse chr19 C1|19 25.14 cM	mouse chr19 C1|19 25.14 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17195	Mbl2
mouse chr15 D3|15 34.25 cM	mouse chr15 D3|15 34.25 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11838	Arc
mouse chr6 B3|6 27.82 cM	mouse chr6 B3|6 27.82 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	26357	Abcg2
mouse chr4 C6|4 46.96 cM	mouse chr4 C6|4 46.96 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16847	Lepr
mouse chrX A7.3|X 37.49 cM	mouse chrX A7.3|X 37.49 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19703	Renbp
mouse chr6 G3|6 77.34 cM	mouse chr6 G3|6 77.34 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16970	Lrmp
mouse chr13 B3-C1|13 35.55 cM	mouse chr13 B3-C1|13 35.55 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	78925	Srd5a1
mouse chr16 A3|16 10.74 cM	mouse chr16 A3|16 10.74 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15160	Serpind1
mouse chr2 A1|2 6.69 cM	mouse chr2 A1|2 6.69 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14462	Gata3
mouse chr7 F3|7 68.94 cM	mouse chr7 F3|7 68.94 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16190	Il4ra
mouse chr15 F2|15 57.33 cM	mouse chr15 F2|15 57.33 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	223920	Soat2
mouse chr5 G2|5 82.36 cM	mouse chr5 G2|5 82.36 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19159	Cyth3
mouse chr10 C1|10 43.05 cM	mouse chr10 C1|10 43.05 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	22027	Hsp90b1
mouse chr7 F3|7 69.16 cM	mouse chr7 F3|7 69.16 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12752	Cln3
mouse chr6 E1|6 49.19 cM	mouse chr6 E1|6 49.19 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16192	Il5ra
mouse chr5 C3.1|5 33.67 cM	mouse chr5 C3.1|5 33.67 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	22235	Ugdh
mouse chr7 A3|7 16.71 cM	mouse chr7 A3|7 16.71 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	101497	Plekhg2
mouse chr9 A3|9 8.38 cM	mouse chr9 A3|9 8.38 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	11433	Acp5
mouse chr19 C2|19 32.28 cM	mouse chr19 C2|19 32.28 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15242	Hhex
mouse chr17 B3|17 21.33 cM	mouse chr17 B3|17 21.33 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12393	Runx2
mouse chr13 D1|13 51.6 cM	mouse chr13 D1|13 51.6 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	110596	Arhgef28
mouse chr17|17 E1.1-E1.2	mouse chr17|17 E1.1-E1.2	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	268970	Arhgap28
mouse chr6 A1|6 1.76 cM	mouse chr6 A1|6 1.76 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	209086	Samd9l
mouse chr11 C|11 51.23 cM	mouse chr11 C|11 51.23 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	21410	Hnf1b
mouse chr4 D2.2|4 57.38 cM	mouse chr4 D2.2|4 57.38 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	12164	Bmp8b
mouse chr1 E4|1 57.14 cM	mouse chr1 E4|1 57.14 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13034	Ctse
mouse chr15 D1|15 23.31 cM	mouse chr15 D1|15 23.31 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15117	Has2
mouse chr19 A|19 5.1 cM	mouse chr19 A|19 5.1 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	18797	Plcb3
mouse chrX F4|X 75.63 cM	mouse chrX F4|X 75.63 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14829	Grpr
mouse chr7 B3|7 29.6 cM	mouse chr7 B3|7 29.6 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13732	Emp3
mouse chr12|12 B2-B3	mouse chr12|12 B2-B3	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	217517	Stxbp6
mouse chr13 A3.3|13 20.12 cM	mouse chr13 A3.3|13 20.12 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14538	Gcnt2
mouse chr1 E2.3|1 52.74 cM	mouse chr1 E2.3|1 52.74 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	13798	En1
mouse chr8 A3|8 20.69 cM	mouse chr8 A3|8 20.69 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14782	Gsr
mouse chrX F5|X 79.19 cM	mouse chrX F5|X 79.19 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17318	Mid1
mouse chr2 H3|2 85.38 cM	mouse chr2 H3|2 85.38 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	21939	Cd40
mouse chr19 D2|19 51.18 cM	mouse chr19 D2|19 51.18 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	73707	Gucy2g
mouse chr17 B1|17 18.5 cM	mouse chr17 B1|17 18.5 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	15511	Hspa1b
mouse chr17 A3.3|17 14.64 cM	mouse chr17 A3.3|17 14.64 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19015	Ppard
mouse chr2 E5|2 60.38 cM	mouse chr2 E5|2 60.38 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14827	Pdia3
mouse chr11 A1|11 7.15 cM	mouse chr11 A1|11 7.15 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14783	Grb10
mouse chr12 A1.1|12 1.77 cM	mouse chr12 A1.1|12 1.77 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	16570	Kif3c
mouse chr11 B5|11 47.59 cM	mouse chr11 B5|11 47.59 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	71956	Rnf135
mouse chr11 A3.1|11 11.11 cM	mouse chr11 A3.1|11 11.11 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	17268	Meis1
mouse chr8 D3|8 53.93 cM	mouse chr8 D3|8 53.93 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	54446	Nfat5
mouse chr13 A5|13 25.07 cM	mouse chr13 A5|13 25.07 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	75607	Wnk2
mouse chr19 C2|19 32.32 cM	mouse chr19 C2|19 32.32 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	107371	Exoc6
mouse chr2 C1.3|2 37.19 cM	mouse chr2 C1.3|2 37.19 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	60344	Fign
mouse chr9 59.07 cM|9 F1	mouse chr9 59.07 cM|9 F1	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	19882	Mst1r
mouse chr1 H2.3|1 73.61 cM	mouse chr1 H2.3|1 73.61 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	100039795	Ildr2
mouse chr3 A3|3 12.66 cM	mouse chr3 A3|3 12.66 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	14013	Mecom
mouse chr12 C1|12 24.53 cM	mouse chr12 C1|12 24.53 cM	0.0332133846215901	-3.40480233305061	1	1	0.0012453300124533	803	24177	18511	Pax9
