TermID	Term	Enrichment	logP	Genes in Term	Target Genes in Term	Fraction of Targets in Term	Total Target Genes	Total Genes	Entrez Gene IDs	Gene Symbols
PF00169	PH	1.39628877872734e-05	-11.1791076204704	175	20	0.0282087447108604	709	18416	71302,106877,19159,26936,102098,101497,233765,241308,245684,231821,71544,50915,101476,67016,19414,14783,226970,83435,72318,19417	Arhgap26,Afap1l1,Cyth3,Mprip,Arhgef18,Plekhg2,Plekha7,Ralgps1,Cnksr2,Adap1,Arhgap42,Grb14,Plekha1,Tbc1d2b,Rasa3,Grb10,Arhgef4,Plekha3,Cyth4,Rasgrf1
PF04300	FBA	3.07149477297764e-05	-10.3907611251315	6	4	0.00564174894217207	709	18416	230904,50760,233038,233040	Fbxo2,Fbxo17,Nccrp1,Fbxo27
PF01582	TIR	0.00101497447196897	-6.89289181757416	21	5	0.00705218617771509	709	18416	17082,16174,16182,16177,16180	Il1rl1,Il18rap,Il18r1,Il1r1,Il1rap
PF00621	RhoGEF	0.00102430672870875	-6.88373925746326	67	9	0.0126939351198872	709	18416	102098,72754,110596,19417,269608,71704,56349,101497,226970	Arhgef18,Arhgef10l,Arhgef28,Rasgrf1,Plekhg5,Arhgef3,Net1,Plekhg2,Arhgef4
PF00999	Na_H_Exchanger	0.00117925050120218	-6.74287621078224	13	4	0.00564174894217207	709	18416	234076,110895,331004,226999	Tmco3,Slc9a4,Slc9a9,Slc9a2
PF00320	GATA	0.00117925050120218	-6.74287621078224	13	4	0.00564174894217207	709	18416	14462,14464,83925,14463	Gata3,Gata5,Trps1,Gata4
PF15277	Sec3-PIP2_bind	0.00148017295053068	-6.51559633956686	2	2	0.00282087447108604	709	18416	69940,217517	Exoc1,Stxbp6
PF16095	COR	0.00148017295053068	-6.51559633956686	2	2	0.00282087447108604	709	18416	233328,66725	Lrrk1,Lrrk2
PF00626	Gelsolin	0.00160097405183125	-6.4371430525747	14	4	0.00564174894217207	709	18416	22349,12332,11567,227753	Vil1,Capg,Avil,Gsn
PF02485	Branch	0.00177057074997754	-6.33645332676025	7	3	0.00423131170662906	709	18416	14538,233781,218476	Gcnt2,Xylt1,Gcnt4
PF00079	Serpin	0.0025005402643262	-5.99124846472498	62	8	0.0112834978843441	709	18416	282663,20708,20723,20720,20706,12406,20713,15160	Serpinb1b,Serpinb6b,Serpinb9,Serpine2,Serpinb9b,Serpinh1,Serpini1,Serpind1
PF01661	Macro	0.00275208316672307	-5.89539713890144	8	3	0.00423131170662906	709	18416	404634,547253,80285	H2afy2,Parp14,Parp9
PF00008	EGF	0.00337555808165128	-5.69119461080139	65	8	0.0112834978843441	709	18416	16971,18131,20562,16997,19225,15200,20344,19123	Lrp1,Notch3,Slit1,Ltbp2,Ptgs2,Hbegf,Selp,Proc
PF05349	GATA-N	0.00432685725946382	-5.44291380662098	3	2	0.00282087447108604	709	18416	14464,14463	Gata5,Gata4
